Res.	Record	Opponent	Method	Event	Round	Time	Location
Win	4–5-1 (1)	Marcus Vinicios	Submission ( arm-triangle choke )	HCF - Crow's Nest	3	0:52	Gatineau , Canada
Loss	3-5-1 (1)	Donnie Liles	Submission (keylock)	IFL - Chicago	1	3:24	Chicago, Illinois , United States
Loss	3-4-1 (1)	Antonio McKee	Decision (unanimous)	IFL - Los Angeles	3	4:00	Los Angeles, California , United States
Loss	3–3-1 (1)	Roan Carneiro	Decision	AFC - Brazil 1	3	5:00	Rio de Janeiro , Brazil
Loss	3-2-1 (1)	Luiz Azeredo	TKO ( punches )	BSF - Brazil Super Fight	1	1:26	Porto Alegre , Brazil
NC	3-1-1 (1)	Haroldo Bunn	No Contest (fighters fell from the ring)	K-NOCK	1	2:40	Rio de Janeiro , Brazil
Loss	3-1-1	Tony Fryklund	TKO ( punches )	UFC 37.5	2	3:34	Las Vegas, Nevada , United States
Win	3-0-1	Joe Merit	Decision (unanimous)	UW - Battle for the Belts	3	5:00	Fridley, Minnesota , United States
Draw	2-0-1	Roman Roytberg	Draw	WEF 8 - Goin' Platinum	4	3:00	Rome, Georgia , United States
Win	2-0	Erick Vianna	Decision	IVTCG - Internacional Vale Tudo Campo Grande	1	N/A	Mato Grosso do Sul , Brazil
Win	1-0	Paulo Arum	TKO	BVTF - Circuit of Fights	1	N/A	Campinas , Brazil
