Season	Cup FinalDate	WinningTeam	Score	LosingTeam	Location	Cup Final Attendance
1977	9 October 1977	Brisbane City (1)	1–1 (5-3 Penalties)	Marconi Stallions	Perry Park , Brisbane (1)	9000
1978	8 October 1978	Brisbane City (2)	2–1	Adelaide City	Perry Park , Brisbane (2)	6964
1979	30 September 1979	Adelaide City (1)	3–1	St George	Olympic Sports Field , Adelaide (1)	9554
1981	20 September 1981	Brisbane Lions (1)	3–1	West Adelaide	Canberra Stadium , Canberra (1)	8132
1982	12 September 1982	APIA Leichhardt (2)	2–1	Heidelberg United	Olympic Park , Melbourne (2)	7000
1984	13 September 1984	Newcastle Rosebud United (1)	1–0	Melbourne Knights	Olympic Park , Melbourne (4)	5000
1985	11 August 1985	Sydney Olympic (2)	2–1	Preston Lions	St. George Stadium , Sydney (2)	11187
1986	17 September 1986	Sydney City (1)	3–2 (a.e.t.)	West Adelaide	Hindmarsh Stadium , Adelaide (1)	5200
1988	14 August 1988	APIA Leichhardt (2)	0–0 (5-3 Penalties)	Brunswick Juventus	Marconi Stadium , Sydney (2)	5200
1989	20 August 1989	Adelaide City (2)	2–0	Sydney Olympic	Hindmarsh Stadium , Adelaide (2)	10000
1989–90	25 April 1990	South Melbourne (1)	4–1	Sydney Olympic	Olympic Park , Melbourne (6)	7000
1990–91	7 April 1991	Parramatta Eagles (1)	1–0	Preston Lions	Marconi Stadium , Sydney (3)	8749
1991–92	7 April 1992	Adelaide City (3)	2–1	Marconi Stallions	Hindmarsh Stadium , Adelaide (3)	6500
1992–93	18 April 1993	Heidelberg United (1)	2–0	Parramatta Eagles	Marconi Stadium , Sydney (4)	4596
1993–94	17 October 1993	Parramatta Eagles (2)	2–0	Sydney United	Marconi Stadium , Sydney (5)	5156
1994–95	16 October 1994	Melbourne Knights (1)	6–0	Heidelberg United	Olympic Park , Melbourne (7)	6000
1995–96	27 January 1996	South Melbourne (2)	3–1	Newcastle Breakers	Lakeside Stadium , Melbourne (1)	7000
