Date	Tournament	Surface	Partnering	Opponents	Score
29 June 2004	Mantua , Italy	Clay	Alessandro Motti	Daniele Bracciali Giorgio Galimberti	6–0, 6–4
25 July 2005	Togliatti , Russia	Hard	Massimo Ocera	Scott Lipsky Mark Nielsen	6–2, 6–3
12 September 2005	Seville , Spain	Clay	Alessandro Motti	Marcos Daniel Fernando Vicente	6–2, 6–7 (1–7) , 7–5
3 October 2005	Rome, Italy	Clay	Alessandro Motti	Konstantinos Economidis Vasilis Mazarakis	6–4, 7–6 (7–4)
20 March 2006	Barletta , Italy	Clay	Alessandro Motti	Santiago Ventura Fernando Vicente	7–6 (7–2) , 4–6, [10–8]
15 May 2006	San Remo , Italy	Clay	Francesco Piccari	Julien Benneteau Nicolas Mahut	6–4, 7–6 (8–6)
30 May 2006	Turin , Italy	Clay	Leonardo Azzaro	Marcel Granollers Marc López	6–4, 6–3
11 June 2007	Košice , Slovak Republic	Clay	Leonardo Azzaro	Filip Polášek Lukáš Rosol	6–1, 7–6 (7–5)
23 July 2007	Poznań , Poland	Clay	Ivo Klec	Marc López Santiago Ventura	6–2, 5–7, [10–3]
27 August 2007	Como , Italy	Clay	Maro Pedrini	Máximo González Simone Vagnozzi	7–6 (7–5) , 6–4
4 September 2007	Genoa , Italy	Clay	Simone Bolelli	Daniele Giorgini Simone Vagnozzi	6–3, 6–1
11 October 2009	Tarragona , Spain	Clay	Alessandro Motti	Tomasz Bednarek Mateusz Kowalczyk	6–1, 6–1
10 January 2010	Nouméa , New Caledonia	Hard	Simone Vagnozzi	Nicolas Devilder Édouard Roger-Vasselin	5–7, 6–2, [10–8]
9 January 2011	Nouméa, New Caledonia	Hard	Simone Vagnozzi	Dominik Meffert Frederik Nielsen	7–6 (7–4) , 5–7, [10–5]
24 September 2011	İzmir , Turkey	Hard	Thomas Fabbiano	Travis Rettenmaier Simon Stadler	6–0, 6–2
