Date	Venue	Score	Result	Competition
29 September 2007	Super Stadium , Atteridgeville	2–0	3–0	2007 COSAFA Cup
22 May 2008	June 11 Stadium , Tripoli	1–0	2–2	Friendly
3 August 2008	Thulamahashe Stadium , Bushbuckridge	1–0	2–0	2008 COSAFA Cup
5 September 2010	Nkoloma Stadium , Lusaka	4–0	4–0	2012 Africa Cup of Nations qualifier
27 March 2011	Estádio da Machava , Maputo	2–0	2–0	2012 Africa Cup of Nations qualifier
4 September 2011	Stade Said Mohamed Cheikh , Mitsamiouli	2–1	2–1	2012 Africa Cup of Nations qualifier
21 January 2012	Estadio de Bata , Bata	1–0	2–1	2012 Africa Cup of Nations
25 January 2012	Estadio de Bata, Bata	1–1	2–2	2012 Africa Cup of Nations
8 February 2012	Estadio de Bata, Bata	1–0	1–0	2012 Africa Cup of Nations
15 August 2012	Anyang Stadium , Anyang	1–1	1–2	Friendly
