Country	TV Network(s)	Series Premiere	Weekly Schedule	Status
Australia	Fox8	Unknown	Weekdays @ 2:30 pm	Currently airing
Belgium	2BE	Unknown	Mondays @ 8:00 pm	Currently airing
Brazil	TruTV	Unknown	Saturdays @ 11:00 pm	Currently airing
Estonia	Kanal 12	Unknown	Weekends	Currently airing
Greece	Skai TV	Unknown	Weekends @ 3:00 pm	Currently airing
India	AXN India	Season 5 & 6	Monday to Thursday @ 11:00 pm	Currently airing
Italy	Sky Italia	Unknown	Unknown	Currently airing
Norway	Viasat 4	Unknown	Fridays @ 8:35 pm	Currently airing
Pakistan	AXN	Unknown	Unknown	Currently airing
Poland	Polsat Play	Season 3 & 4	Every day @ 7:00 pm	Currently airing
United Arab Emirates	MBC Action	Unknown	Thursday @ 4:00 pm	Currently airing
