Place	Player	Country	Score	To par	Money ( $ )
1	Ed Furgol	United States	71-70-71-72=284	+4	6,000
2	Gene Littler	United States	70-69-76-70=285	+5	3,600
T3	Lloyd Mangrum	United States	72-71-72-71=286	+6	1,500
T3	Dick Mayer	United States	72-71-70-73=286	+6	1,500
5	Bobby Locke	South Africa	74-70-74-70=288	+8	960
T6	Tommy Bolt	United States	72-72-73-72=289	+9	570
T6	Fred Haas	United States	73-73-71-72=289	+9	570
T6	Ben Hogan	United States	71-70-76-72=289	+9	570
T6	Shelley Mayfield	United States	73-75-72-69=289	+9	570
T6	Billy Joe Patton (a)	United States	69-76-71-73=289	+9	0
