Rank	Nation	Gold	Silver	Bronze	Total
1	Russia	5	6	6	17
2	United States	4	3	0	7
3	Cuba	4	1	2	7
4	China	3	0	0	3
5	Japan	2	2	1	5
6	Norway	2	1	2	5
7	Turkey	2	1	0	3
8	France	1	1	2	4
8	South Korea	1	1	2	4
10	Armenia	1	1	0	2
10	Iran	1	1	0	2
12	Sweden	1	0	1	2
13	Austria	1	0	0	1
13	Bulgaria	1	0	0	1
15	Belarus	0	2	0	2
16	Canada	0	1	2	3
16	Germany	0	1	2	3
18	Georgia	0	1	1	2
18	Poland	0	1	1	1
18	Venezuela	0	1	1	2
21	Kazakhstan	0	1	0	1
21	Moldova	0	1	0	1
21	Romania	0	1	0	1
21	Ukraine	0	1	0	1
25	Chinese Taipei	0	0	2	2
25	Uzbekistan	0	0	2	2
27	Finland	0	0	1	1
27	Mongolia	0	0	1	1
Total	Total	29	29	29	87
