Country	Unit p koe/$05	2006	2007	2008	2009
World	koe/$05p	0,2	0,2	0,19	0,19
OECD	koe/$05p	0,15	0,15	0,15	0,15
Europe	koe/$05p	0,13	0,13	0,12	0,12
EU-27	koe/$05p	0,13	0,13	0,12	0,12
Belgium	koe/$05p	0,17	0,16	0,16	0,15
Spain	koe/$05p	0,12	0,11	0,11	0,11
Finland	koe/$05p	0,22	0,21	0,2	0,2
France	koe/$05p	0,14	0,14	0,14	0,13
United Kingdom	koe/$05p	0,11	0,1	0,1	0,1
Italy	koe/$05p	0,11	0,1	0,11	0,1
Netherlands	koe/$05p	0,13	0,13	0,13	0,13
Norway	koe/$05p	0,13	0,12	0,12	0,12
Poland	koe/$05p	0,18	0,17	0,16	0,15
Portugal	koe/$05p	0,11	0,11	0,11	0,11
Czech Republic	koe/$05p	0,21	0,19	0,19	0,19
Germany	koe/$05p	0,13	0,12	0,12	0,12
Romania	koe/$05p	0,18	0,17	0,15	0,14
Sweden	koe/$05p	0,17	0,16	0,16	0,15
Turkey	koe/$05p	0,11	0,12	0,11	0,11
North America	koe/$05p	0,19	0,18	0,18	0,18
Canada	koe/$05p	0,23	0,23	0,22	0,21
United States	koe/$05p	0,18	0,18	0,18	0,17
CIS	koe/$05p	0,39	0,36	0,35	0,35
Kazakhstan	koe/$05p	0,44	0,42	0,43	0,45
Russia	koe/$05p	0,37	0,34	0,33	0,32
Ukraine	koe/$05p	0,49	0,45	0,43	0,44
Uzbekistan	koe/$05p	0,87	0,8	0,76	0,73
Latin America	koe/$05p	0,14	0,14	0,14	0,14
Mexico	koe/$05p	0,13	0,13	0,13	0,14
Brazil	koe/$05p	0,14	0,14	0,13	0,13
Argentina	koe/$05p	0,15	0,15	0,14	0,14
Venezuela	koe/$05p	0,22	0,21	0,2	0,21
Chile	koe/$05p	0,15	0,14	0,14	0,14
Colombia	koe/$05p	0,09	0,08	0,08	0,09
Asia	koe/$05p	0,23	0,22	0,22	0,22
China	koe/$05p	0,32	0,3	0,28	0,28
Japan	koe/$05p	0,13	0,13	0,13	0,12
India	koe/$05p	0,21	0,2	0,2	0,2
South Korea	koe/$05p	0,19	0,19	0,19	0,19
Taiwan	koe/$05p	0,29	0,28	0,27	0,28
Thailand	koe/$05p	0,23	0,22	0,22	0,23
Indonesia	koe/$05p	0,24	0,24	0,24	0,24
Malaysia	koe/$05p	0,21	0,22	0,21	0,22
Australasia	koe/$05p	0,18	0,18	0,18	0,18
Australia	koe/$05p	0,18	0,18	0,18	0,18
New Zealand	koe/$05p	0,17	0,16	0,16	0,17
Africa	koe/$05p	0,26	0,25	0,25	0,25
South Africa	koe/$05p	0,31	0,31	0,31	0,31
Nigeria	koe/$05p	0,4	0,39	0,38	0,36
Egypt	koe/$05p	0,18	0,18	0,18	0,18
Algeria	koe/$05p	0,14	0,15	0,15	0,16
Middle-East	koe/$05p	0,26	0,26	0,26	0,26
Saudi Arabia	koe/$05p	0,29	0,29	0,3	0,32
Iran	koe/$05p	0,25	0,25	0,25	0,24
United Arab Emirates	koe/$05p	0,21	0,22	0,24	0,25
Kuwait	koe/$05p	0,21	0,21	0,21	0,24
