Name	Campeonato Paulista	Copa Libertadores	Campeonato Brasileiro	Copa Sudamericana	Others	Total
Borges	3	1	7	2	0	13
Aloísio	3	1	6	1	0	11
Hugo	7	1	3	0	0	11
Rogério Ceni	2	0	7	1	0	10
Leandro	3	1	4	0	0	8
Alex Silva	3	2	2	0	0	7
Dagoberto	0	0	7	0	0	7
Jorge Wagner	2	0	4	0	0	6
Richarlyson	3	1	2	0	0	6
Souza	3	1	2	0	0	6
Hernanes	1	0	3	1	0	5
Lenílson	5	0	0	0	0	5
Júnior	2	1	0	0	0	4
Miranda	0	2	2	0	0	4
Marcel	2	0	0	0	1	3
Breno	0	0	2	0	0	2
Ilsinho	2	0	0	0	0	2
Jadílson	1	1	0	0	0	2
André Dias	0	0	1	0	0	1
Diego Tardelli	0	0	1	0	0	1
Francisco Alex	0	0	1	0	0	1
Josué	1	0	0	0	0	1
Own goals	0	0	1	0	0	1
Total	43	12	55	5	1	116
