Week	Date	Opponent	Result	Attendance
1	September 18, 1977	at Atlanta Falcons	L 17-6	55,956
2	September 25, 1977	Philadelphia Eagles	W 20-0	46,031
3	October 2, 1977	San Francisco 49ers	W 34-14	55,466
4	October 10, 1977	at Chicago Bears	L 24-23	51,412
5	October 16, 1977	New Orleans Saints	W 14-7	46,045
6	October 24, 1977	Minnesota Vikings	W 35-3	61,414
7	October 30, 1977	at New Orleans Saints	L 27-26	59,023
8	November 6, 1977	Tampa Bay Buccaneers	W 31-0	45,493
9	November 13, 1977	at Green Bay Packers	W 24-6	52,948
10	November 20, 1977	at San Francisco 49ers	W 23-10	56,779
11	November 27, 1977	at Cleveland Browns	W 9-0	70,352
12	December 4, 1977	Oakland Raiders	W 20-14	67,075
13	December 11, 1977	Atlanta Falcons	W 23-7	52,574
14	December 17, 1977	at Washington Redskins	L 17-14	54,208
