Team	Average	Points	Played	1991-92	1992-93	1993-94
Boca Juniors	1.307	149	114	51	50	48
River Plate	1.281	146	114	45	55	46
Vélez Sársfield	1.237	141	114	45	48	48
San Lorenzo	1.088	124	114	45	45	45
Huracán	1.061	121	114	40	38	43
Independiente	1.026	117	114	40	36	41
Newell's Old Boys	1.026	117	114	48	44	25
Racing Club	1.009	115	114	40	39	36
Deportivo Español	1.000	114	114	28	45	41
Ferro Carril Oeste	0.991	113	114	38	37	38
Rosario Central	0.982	112	114	39	34	39
Lanús	0.974	37	38	N/A	N/A	37
Belgrano de Córdoba	0.961	73	76	N/A	35	38
Deportivo Mandiyú	0.947	108	114	38	33	37
Gimnasia de La Plata	0.947	108	114	33	41	34
Estudiantes de La Plata	0.930	106	114	39	29	38
Platense	0.921	105	114	35	42	28
Argentinos Juniors	0.912	104	114	36	35	33
Talleres de Córdoba	0.851	97	114	29	37	31
