Date	Home Team	Score	Away Team	Goals	Attendance	Competition
11/2/2007	Bradford	18-14	Huddersfield Giants	Deacon 3/4	12,130	Super League XII
18/02/07	Warrington Wolves	20-36	Bradford	Deacon 6/7	12,607	Super League XII
24/02/07	Bradford	32-28	Wigan Warriors	Deacon 6/6	12,798	Super League XII
02/03/07	St Helens	34-22	Bradford	Deacon 3/4	11,793	Super League XII
11/03/07	Bradford	56-18	Salford City Reds	Deacon 8/10	10,640	Super League XII
17/03/07	Harlequins RL	22-36	Bradford	Deacon 6/6	04,011	Super League XII
25/03/07	Bradford	22-29	Catalans Dragons	Deacon 3/4	11,298	Super League XII
30/03/07	Bradford	24-16	Castleford Tigers	Deacon 4/4	06,748	Rugby League Challenge Cup
05/04/07	Bradford	14-18	Leeds Rhinos	Deacon 3/5	16,706	Super League XII
09/04/07	Wakefield Trinity Wildcats	24-36	Bradford	Deacon 6/7	09,106	Super League XII
15/04/07	Bradford	52-22	Hull KR	Deacon 8/9	10,881	Super League XII
20/04/07	Hull F.C.	22-32	Bradford	Deacon 4/6	12,767	Super League XII
29/04/07	Bradford	36-24	Warrington Wolves	Deacon 3/3, I Harris 3/5;	11,200	Super League XII
06/05/07	Bradford	38-42	Leeds Rhinos	Deacon 7/7	26,667	Super League XII
13/05/07	Wakefield Trinity Wildcats	4-14	Bradford	Deacon 1/3	03,568	Rugby League Challenge Cup
18/05/07	Huddersfield Giants	36-12	Bradford	I Harris 2/2	08,667	Super League XII
27/05/07	Bradford	44-18	Harlequins RL	Deacon 6/8	10,418	Super League XII
02/06/07	Catalans Dragons	20-28	Bradford	Deacon 4/5	07,555	Super League XII
10/06/07	Bradford	52-20	Huddersfield Giants	Deacon 8/10	07,811	Rugby League Challenge Cup
17/06/07	Bradford	34-8	Hull F.C.	Deacon 4/6, Vainikolo 1/1	11,557	Super League XII
29/06/07	Leeds Rhinos	14-38	Bradford	Deacon 7/7	22,000	Super League XII
06/07/07	Wigan Warriors	25-18	Bradford	Deacon 5/5	15,107	Super League XII
13/07/07	Bradford	10-4	St Helens	Deacon 3/3	11,217	Super League XII
21/07/07	Salford City Reds	14-10	Bradford	Deacon 1/2	03,438	Super League XII
28/07/07	Bradford	16-35	St Helens	Deacon 1/3	14,316	Rugby League Challenge Cup
05/08/07	Bradford	38-24	Wakefield Trinity Wildcats	Burgess 5/8	10,701	Super League XII
12/08/07	Hull KR	10-28	Bradford	I Harris 4/5	06,695	Super League XII
19/08/07	Huddersfield Giants	26-22	Bradford	Harris 5/5	06,824	Super League XII
02/09/07	Bradford	16-16	Leeds Rhinos	Deacon 2/4	18,000	Super League XII
09/09/07	Bradford	40-8	Catalans Dragons	Iestyn Harris(6/7)	9,350	Super League XII
14/09/07	Hull F.C.	20-10	Bradford	I Harris(1/2)	14,409	Super League XII
21/9/07	Bradford	30-31	Wigan Warriors	I Harris(5/6)	9,000	Super League XII
