Season	Mens Singles	Womens Singles	Mens Doubles	Womens Doubles	Mixed Doubles
1994/95	Damien Eloi	Bettine Vrieskoop	Damien Eloi Christophe Legout	Åsa Svensson Marie Svensson	n/a
1991/92	Jean-Philippe Gatien	Mirjam Hooman	Mikael Applegren Jan-Ove Waldner	Irina Palina Elena Timina	Jean-Philippe Gatien Zxiao Ming Wang
1989/90	Yu Shenlong	Mika Hoshino	Wei Quingguang Chen Longcan	Kim Youn Sook Lee Jung Ae	Jean-Philippe Gatien Zxiao Ming Wang
1987/88	Jorgen Persson	Li Huifen	Andrzej Grubba Leszek Kucharski	Daniela Guergueltcheva Valentina Popova	Wei Qingguang Li Huifen
1985/86	Zoran Kalinic	Ellen Kovtun	Zoran Kalinic Masahiro Maehara	Alison Gordon Joy Grundy	Desmond Douglas Alison Gordon
1983/84	Desmond Douglas	Anita Zakharjan	Jonny Akesson Jorgen Persson	Patricia Germain Brigitte Thiriet	Seiji Ono Yoshiko Shimauchi
1981/82	Teng Yi	Chen Lili	Teng Yi Fan Changmao	Dai Lili Chen Jieling	Chen Xinhua Chen Lili
1979/80	Desmond Douglas	Jill Hammersley	Andrzej Grubba Leszek Kucharski	Blanka Silhanova Ilona Vostova	Erik Lindh Marie Lindblad
1978/79	Kou Yan Hua	Jill Hammersley	Kuo Yao Hua Ke Liang	Judit Magos Gabriela Szabo	Desmond Douglas Linda Howard
1977/78	Li Chen Shih	Chu Hsiang Yun	Li Chen Shih Wang Hui Yun	Chu Hsiang Yun Wei Li Chieh	Desmond Douglas Linda Howard
1976/77	Stanislav Gomozkov	Carole Knight	Stanislav Gomozkov Anatoli Strokatov	Jill Hammersley Linda Howard	Bagrat Burnazian Tatiana Ferdman
1975/76	Stellan Bengtsson	Jill Hammersley	Desmond Douglas Denis Neale	Blanka Silhanova Ilona Vostova	Stellan Bengtsson Ann Hellman
1974/75	Anatoly Strokatov	Elmira Antonian	Stanislav Gomozkov Anatoli Strokatov	Yen Kui Li Yu Ching Chia	Li Ching-Kwang Yen Kui-Li
1973/74	Kjell Johansson	Maria Alexandru	Stellan Bengtsson Kjell Johansson	Maria Alexandru Alicia Grofova	Bo Persson Brigitta Radberg
1972/73	Stellan Bengtsson	Brigitta Radberg	Stellan Bengtsson Kjell Johansson	Miloslava Polackova Ilona Vostova	Milan Orlowski Ilona Vostova
1971/72	Stellan Bengtsson	Maria Alexandru	Antun Stipancic Dragutin Surbek	Maria Alexandru Eleanora Vlaicov	Milan Orlowski Ilona Vostova
1970/71	Tibor Klampar	Maria Alexandru	Stellan Bengtsson Bo Persson	Maria Alexandru E Mihalca	Antun Stipancic Maria Alexandru
1969/70	Stefan Kollarovits	Maria Alexandru	Istvan Jonyer Tibor Klampar	Karenza Matthews Mary Wright	Denis Neale Mary Wright
1968/69	Stanoslav Gomozkov	Zoya Rudnova	Antoliy Amelin Stanislav Gomozkov	Svetlana Greinberg Zoya Rudnova	EberharDiane Scholer Diane Scholer
1967/68	Stanoslav Gomozkov	E Mihalca	Istvan Korpa Dragutin Surbek	Svetlana Greinberg Zoya Rudnova	Stanislav Gomozkov Zoya Rudnova
1966/67	Jaroslav Stanek	Mary Wright	Vladimir Miko Jaroslav Stanek	Maria Alexandru E Mihalca	Vladimir Miko Marta Luzova
1964/65	Eberhard Scholer	Marta Luzova	Vladimir Miko Jaroslav Stanek	Diane Rowe Mary Shannon	Vladimir Miko Marta Luzova
1963/64	Dorin Giurgica	Maria Alexandru	Janos Fahazi Peter Rozsas	Diane Rowe Mary Shannon	P Roszas Sarolte Lukas
1962/63	Zoltan Berczik	Maria Alexandru	Ivan Andreadis Villim Harrangozo	Diane Rowe Mary Shannon	Janos Fahazi Eva Foldi
1961/62	Zoltan Berczik	Diane Rowe	Ivan Andreadis Vladimir Miko	Diane Rowe Mary Shannon	Zolton Berczik Sarolte Lukas
1960/61	Victor Markovic	Eva Foldi	Hans Alser Tony Larsson	Kathy Best Agnes Simon	Zolton Berczik Eva Foldi
1959/60	Ian Harrison	Agnes Simon	Johnny Leach Michael Thornhill	Kathy Best Diane Rowe	Ian Harrison Diane Rowe
1958/59	Ichiro Ogimura	Fujie Eguchi	Teruo Murakami Ichiro Ogimura	Fujie Eguchi Kimyo Matsuzaki	Teruo Murakami Kimyo Matsuzaki
1957/58	Ferenc Sido	Agnes Simon	Zolton Berczik Frederic Sido	Ann Haydon Pamela Mortimer	Frederic Sido Eva Koczian
1956/57	Zolton Berczik	Fujie Eguchi	Ichiro Ogimura Toshiaki Tanaka	Taeko Namba Tomie Okawa	Keisuke Tsunoda Taeko Namba
1955/56	Elemer Gyetvai	Gizi Farkas	Elemer Gyetvai Kalman Szepesi	Ann Haydon Diane Rowe	Johnny Leach Diane Rowe
1954/55	Zarko Dolinar	Rosalind Rowe	Ivan Andreadis Ladislav Stipek	Diane Rowe Rosalind Rowe	Aubrey Simmons Helen Elliott
1953/54	Richard Bergmann	Linda Wertl	Brian Kennedy Aubrey Simmons	Diane Rowe Rosalind Rowe	Johnny Leach Diane Rowe
1952/53	Michel Haguenauer	Rosalind Rowe	Richard Bergmann Johnny Leach	Diane Rowe Rosalind Rowe	Viktor Barna Rosalind Rowe
1951/52	Richard Bergmann	Linda Wertl	Zarko Dolinar Villim Harrangozo	Diane Rowe Rosalind Rowe	Johnny Leach Diane Rowe
1950/51	Alojzy Ehrlich	Gertrude Pritzi	Jack Carrington Johnny Leach	Diane Rowe Rosalind Rowe	Viktor Barna Helen Elliott
1949/50	Richard Bergmann	Mildred Shahian	Zarko Dolinar Villim Harrangozo	Diane Rowe Rosalind Rowe	Johnny Leach Peggy Franks
1948/49	Marty Reisman	Peggy McLean	Viktor Barna Richard Bergmann	Peggy McLean Leah Thall	Richard Miles Leah Thall
1947/48	Richard Bergmann	Gizi Farkas	Richard Bergmann Tage Flisberg	Lilian Barnes G Farkas	Frederic Sido Gizi Farkas
1945/46	Bohumil Vana	Dora Beregi	Adolf Slar Bohumil Vana	Dora Beregi Vera Dace	Eric Filby Dora Beregi
1939/40	Richard Bergmann	Vera Dace	Richard Bergmann Alfred Liebster	Dora Beregi Jean Nicoll	Viktor Barna Dora Beregi
1938/39	Richard Bergmann	Jean Nicoll	Viktor Barna Laszlo Bellak	Vlasta Depretisova V Votrucova	Bohumil Vana Vera Votrubcova
1937/38	Viktor Barna	Dora Beregi	Viktor Barna Laszlo Bellak	Margaret Osborne Wendy Woodhead	Viktor Barna Margaret Osborne
1936/37	Viktor Barna	Ruth Aarons	Abe Berenbaum Sol Schiff	Margaret Osborne Wendy Woodhead	Robert Blattner Ruth Aarons
1935/36	Alojzy Ehrlich	Marie Kettnerova	Laszlo Bellak Miklos Szabados	Dora Emdin Astrid Krebsbach	Viktor Barna Margaret Osborne
1934/35	Viktor Barna	Margaret Osborne	Viktor Barna Tommy Sears	Margaret Osborne Wendy Woodhead	Viktor Barna Margaret Osborne
1933/34	Viktor Barna	Margaret Osborne	Viktor Barna Tommy Sears	Dora Emdin Phyllis Moser	Viktor Barna Dora Emdin
1932/33	Viktor Barna	Dora Emdin	Viktor Barna Sandor Glancz	N Wood Wendy Woodhead	Viktor Barna Dora Emdin
1931/32	Miklos Szabados	M Medynansky	H Kolar Antonin Malecek	H Martin Maria Medynansky	Miklos Szabados Maria Medynansky
1930/31	Miklos Szabados	Valerie Bromfield	Viktor Barna Miklos Szabados	Mary Holt N Wood	Sandor Glancz Valerie Bromfield
1929/30	Sandor Glancz	Dolly Gubbins	Charles Bull Fred Perry	Magda Gal Winifred Land	Sandor Glancz Magda Gal
1928/29	Antonin Malecek	Marie Smidova	Charles Bull Fred Perry	Phyllis Moser Marie Smidova	Fred Perry Winifred Land
1927/28	Dani Pecsi	Erika Metzger	Charles Bull Fred Perry	Winifred Land Brenda Sommerville	Dani Pecsi Erika Metzger
