Episode	Garfield Episode 1	U.S. Acres Episode	Garfield Episode 2	Original Airdate
"Show 58"	Moo Cow Mutt	Big Bad Buddy Bird	Angel Puss	September14,1991
"Show 59"	Trial and Error	An Egg-Citing Story	Supermarket Mania	September14,1991
"Show 60"	The Legend of Cactus Jupiter	Birthday Boy Roy	Jukebox Jon	September21,1991
"Show 61"	Squeak Previews	Dr. Jekyll & Mr. Wade	A Tall Tale	September21,1991
"Show 62"	Frankenstein Feline	Weatherman Wade	Fill-in Feline	September28,1991
"Show 63"	Polar Pussycat	Over the Rainbow	Remote Possibilities	September28,1991
"Show 64"	Night of the Living Laundromat	Fast Food	Cash and Carry	October5,1991
"Show 65"	Speed Trap	Flights of Fantasy	Castaway Cat	October5,1991
"Show 66"	Mind over Matter	Orson at the Bat	The Multiple Choice Cartoon	October12,1991
"Show 67"	Galactic Gamesman Garfield	Sly Spy Guy	The Thing That Stayed... Forever!	October12,1991
"Show 68"	Bouncing Baby Blues	The Ugly Duckling	Learning Lessons	October19,1991
"Show 69"	Robodie II	For Butter or Worse	Annoying Things	October19,1991
"Show 70"	Guaranteed Trouble	Fan Clubbing	A Jarring Experience	October26,1991
"Show 71"	The Idol of Id	Bedtime Story Blues	Mamma Manicotti	November2,1991
"Show 72"	The Pizza Patrol	The Son Also Rises	Rolling Romance	November9,1991
