Region	Date	Label	Format	Catalog
Netherlands	June 13, 2002	Magik Muzik	2 x vinyl , 12"	Magik Muzik 806-5
Netherlands	July 29, 2002	Magik Muzik	CD , Maxi	Magik Muzik 806-2
Netherlands	July 29, 2002	Magik Muzik	CD , Single	Magik Muzik 806-1
United Kingdom	2002	VC Recordings	vinyl , 12" , Single Sided, Promo	VCRTXXDJ 106
United Kingdom	2002	VC Recordings	vinyl , 12" , Promo	VCRTXDJ 106
United Kingdom	2002	VC Recordings	vinyl , Single , Promo	VCRDDJ 106
United Kingdom	2002	VC Recordings	vinyl , 12" , Promo	VCRTDJ 106
United Kingdom	June 17, 2002	VC Recordings	CD , Maxi , Enhanced	VCRD 106
United Kingdom	June 17, 2002	VC Recordings	vinyl , 12"	VCRT 106
United Kingdom	June, 2002	VC Recordings	CD , Single , Enhanced	VCRDX 106
United States	2002	Nettwerk America	vinyl , 12"	0 6700 33168 1 1
Scandinavia	2002	Playground Music Scandinavia	CD , Maxi	MAGIK MUZIK 806-2
