Club	Played	Drawn	Lost	Points for	Points against	Tries for	Tries against	Try bonus	Losing bonus	Points
Club	Played	Drawn	Lost	Points for	Points against	Tries for	Tries against	Try bonus	Losing bonus	Points
Oakdale RFC	22	2	0	614	226	88	23	13	0	97
Blaenavon RFC	22	1	5	444	271	61	33	5	2	73
Brynithel RFC	22	3	4	398	292	41	24	4	1	71
Caldicot RFC	22	0	8	500	330	69	44	8	3	67
Usk RFC	22	2	8	484	431	71	58	11	1	64
Hartridge RFC	22	1	11	424	345	52	45	5	5	52
Bettws RFC	22	3	11	476	438	59	53	6	7	51
RTB (Ebbw Vale) RFC	22	3	12	317	371	38	50	5	4	43
Ynysddu RFC	22	1	14	315	376	35	44	3	9	42
Llanhilleth RFC	22	3	13	357	475	42	61	3	4	37
Trinant RFC	22	1	15	261	487	29	65	1	4	31
Pontllanfraith RFC	22	0	21	160	708	17	102	2	1	7
Correct as of 00:00 4 August 2010	Correct as of 00:00 4 August 2010	Correct as of 00:00 4 August 2010	Correct as of 00:00 4 August 2010	Correct as of 00:00 4 August 2010	Correct as of 00:00 4 August 2010	Correct as of 00:00 4 August 2010	Correct as of 00:00 4 August 2010	Correct as of 00:00 4 August 2010	Correct as of 00:00 4 August 2010	Correct as of 00:00 4 August 2010
