Constituency No.	Vidhan Sabha Constituency	Reservation for SC/ST	District	Lok Sabha
151	Parbatta (Vidhan Sabha constituency)	None	Khagaria	25 Khagaria
152	Bihpur (Vidhan Sabha constituency)	None	Bhagalpur	26 Bhagalpur
153	Gopalpur (Vidhan Sabha constituency)	None	Bhagalpur	26 Bhagalpur
154	Pirpainti (Vidhan Sabha constituency)	SC	Bhagalpur	26 Bhagalpur
155	Kahalgaon (Vidhan Sabha constituency)	None	Bhagalpur	26 Bhagalpur
156	Bhagalpur (Vidhan Sabha constituency)	None	Bhagalpur	26 Bhagalpur
157	Sultanganj (Vidhan Sabha constituency)	None	Bhagalpur	27 Banka
158	Nathnagar (Vidhan Sabha constituency)	None	Bhagalpur	26 Bhagalpur
159	Amarpur (Vidhan Sabha constituency)	None	Banka	27 Banka
160	Dhoraiya (Vidhan Sabha constituency)	SC	Banka	27 Banka
161	Banka (Vidhan Sabha constituency)	None	Banka	27 Banka
162	Katoria (Vidhan Sabha constituency)	ST	Banka	27 Banka
163	Belhar (Vidhan Sabha constituency)	None	Banka	27 Banka
164	Tarapur (Vidhan Sabha constituency)	None	Munger	40 Jamui (SC)
165	Munger (Vidhan Sabha constituency)	None	Munger	28 Munger
166	Jamalpur, Munger (Vidhan Sabha constituency)	None	Munger	28 Munger
167	Suryagarha (Vidhan Sabha constituency)	None	Lakhisarai	28 Munger
168	Lakhisarai (Vidhan Sabha constituency)	None	Lakhisarai	28 Munger
169	Sheikhpura (Vidhan Sabha constituency)	None	Sheikhpura	40 Jamui (SC)
170	Barbigha (Vidhan Sabha constituency)	None	Sheikhpura	39 Nawada
171	Asthawan (Vidhan Sabha constituency)	None	Nalanda	29 Nalanda
172	Biharsharif (Vidhan Sabha constituency)	None	Nalanda	29 Nalanda
173	Rajgir (Vidhan Sabha constituency)	SC	Nalanda	29 Nalanda
174	Islampur, Nalanda (Vidhan Sabha constituency)	None	Nalanda	29 Nalanda
175	Hilsa (Vidhan Sabha constituency)	None	Nalanda	29 Nalanda
176	Nalanda (Vidhan Sabha constituency)	None	Nalanda	29 Nalanda
177	Harnaut (Vidhan Sabha constituency)	None	Nalanda	29 Nalanda
178	Mokama (Vidhan Sabha constituency)	None	Patna	28 Munger
179	Barh (Vidhan Sabha constituency)	None	Patna	28 Munger
180	Bakhtiarpur (Vidhan Sabha constituency)	None	Patna	30 Patna Sahib
181	Digha (Vidhan Sabha constituency)	None	Patna	30 Patna Sahib
182	Bankipur (Vidhan Sabha constituency)	None	Patna	30 Patna Sahib
183	Kumhrar (Vidhan Sabha constituency)	None	Patna	30 Patna Sahib
184	Patna Sahib (Vidhan Sabha constituency)	None	Patna	30 Patna Sahib
185	Fatuha (Vidhan Sabha constituency)	None	Patna	30 Patna Sahib
186	Danapur (Vidhan Sabha constituency)	None	Patna	31 Pataliputra
187	Maner (Vidhan Sabha constituency)	None	Patna	31 Pataliputra
188	Phulwari (Vidhan Sabha constituency)	SC	Patna	31 Pataliputra
189	Masaurhi (Vidhan Sabha constituency)	SC	Patna	31 Pataliputra
190	Paliganj (Vidhan Sabha constituency)	None	Patna	31 Pataliputra
191	Bikram (Vidhan Sabha constituency)	None	Patna	31 Pataliputra
192	Sandesh (Vidhan Sabha constituency)	None	Bhojpur	32 Arrah
193	Barhara (Vidhan Sabha constituency)	None	Bhojpur	32 Arrah
194	Arrah (Vidhan Sabha constituency)	None	Bhojpur	32 Arrah
195	Agiaon (Vidhan Sabha constituency)	SC	Bhojpur	32 Arrah
196	Tarari (Vidhan Sabha constituency)	None	Bhojpur	32 Arrah
197	Jagdishpur (Vidhan Sabha constituency)	None	Bhojpur	32 Arrah
198	Shahpur (Vidhan Sabha constituency)	None	Bhojpur	32 Arrah
199	Brahampur (Vidhan Sabha constituency)	None	Buxar	33 Buxar
