Round	Circuit	Date	Length	Pole Position	GT3 Winner	GTC Winner
1	Oulton Park	7 April	60 mins	No. 1 Barwell Motorsport	No. 23 Christians in Motorsport	No. 81 Team Tiger
1	Oulton Park	7 April	60 mins	Jonny Cocker Paul Drayson	Hector Lester Tim Mullen	Chris Beighton Jon Finnemore
2	Oulton Park	9 April	60 mins	No. 23 Christians in Motorsport	No. 9 Tech 9	No. 81 Team Tiger
2	Oulton Park	9 April	60 mins	Hector Lester Tim Mullen	Oliver Bryant Matt Harris	Chris Beighton Jon Finnemore
3	Donington Park	21 April	60 mins	No. 6 Team RPM	No. 3 Barwell Motorsport	No. 99 Beechdean Motorsport
3	Donington Park	21 April	60 mins	Bradley Ellis Alex Mortimer	Ben de Zille Butler Guy Harrington	Andrew Howard Aaron Scott
4	Donington Park	22 April	60 mins	No. 12 VRS Motor Finance	No. 2 Barwell Motorsport	No. 99 Beechdean Motorsport
4	Donington Park	22 April	60 mins	Phil Burton Adam Wilcox	Tom Alexander Michael Bentwood	Andrew Howard Aaron Scott
5	Snetterton	3 June	120 mins	No. 1 Barwell Motorsport	No. 1 Barwell Motorsport	No. 50 Team Aero Racing
5	Snetterton	3 June	120 mins	Jonny Cocker Paul Drayson	Jonny Cocker Paul Drayson	Keith Ahlers Steve Hyde
6	Brands Hatch	14 July	60 mins	No. 6 Team RPM	No. 6 Team RPM	No. 64 Trackspeed
6	Brands Hatch	14 July	60 mins	Bradley Ellis Alex Mortimer	Bradley Ellis Alex Mortimer	David Ashburn Phil Keen
7	Brands Hatch	15 July	60 mins	No. 23 Christians in Motorsport	No. 6 Team RPM	No. 55 ABG Motorsport
7	Brands Hatch	15 July	60 mins	Hector Lester Allan Simonsen	Bradley Ellis Alex Mortimer	Colin Broster Peter Morris
8	Silverstone	12 August	120 mins	No. 12 VRS Motor Finance	No. 23 Christians in Motorsport	No. 54 RSS Performance
8	Silverstone	12 August	120 mins	Phil Burton Adam Wilcox	Hector Lester Tim Mullen	Graeme Mundy Jamie Smyth
9	Thruxton	25 August	60 mins	No. 6 Team RPM	No. 1 Barwell Motorsport	No. 54 RSS Performance
9	Thruxton	25 August	60 mins	Bradley Ellis Alex Mortimer	Jonny Cocker Paul Drayson	Graeme Mundy Jamie Smyth
10	Thruxton	26 August	60 mins	No. 1 Barwell Motorsport	No. 3 Barwell Motorsport	No. 99 Beechdean Motorsport
10	Thruxton	26 August	60 mins	Jonny Cocker Paul Drayson	Ben de Zille Butler Guy Harrington	Andrew Howard Aaron Scott
11	Croft	8 September	60 mins	No. 22 Team Eurotech – Preci Spark	No. 23 Christians in Motorsport	No. 50 Team Aero Racing
11	Croft	8 September	60 mins	David Jones Godfrey Jones	Hector Lester Allan Simonsen	Keith Ahlers Steve Hyde
12	Croft	9 September	60 mins	No. 23 Christians in Motorsport	No. 23 Christians in Motorsport	No. 54 RSS Performance
12	Croft	9 September	60 mins	Hector Lester Allan Simonsen	Hector Lester Allan Simonsen	Graeme Mundy Jamie Smyth
13	Rockingham	29 September	60 mins	No. 21 Team Modena	No. 6 Team RPM	No. 99 Beechdean Motorsport
13	Rockingham	29 September	60 mins	Adam Jones Jason Templeman	Bradley Ellis Alex Mortimer	Andrew Howard Aaron Scott
14	Rockingham	30 September	60 mins	No. 23 Christians in Motorsport	No. 6 Team RPM	No. 99 Beechdean Motorsport
