Species	Strain	Type	Base Pairs	Genes
Azoarcus sp.	EbN1	Betaproteobacteria	4,296,230	4,128
Bordetella bronchiseptica	RB50	Betaproteobacteria	5,339,179	5,006
Bordetella parapertussis	12822	Betaproteobacteria	4,773,551	4,402
Bordetella pertussis	TohamaI	Betaproteobacteria	4,086,189	3,806
Burkholderia cenocepacia	AU1054	Betaproteobacteria	3,294,563	2,965
Unspecified	Unspecified	Betaproteobacteria	2,788,459	2,472
Unspecified	Unspecified	Betaproteobacteria	1,196,094	1,040
Burkholderia mallei	ATCC23344	Betaproteobacteria	3,510,148	2,996
Unspecified	Unspecified	Betaproteobacteria	2,325,379	2,029
Burkholderia pseudomallei	1710b	Betaproteobacteria	4,126,292	3,736
Unspecified	Unspecified	Betaproteobacteria	3,181,762	2,611
Burkholderia pseudomallei	K96243	Betaproteobacteria	4,074,542 (chromosome I) 3,173,005 (chromosome II)	3,460 (chromosome I) 2,395 (chromosome II)
Burkholderia species	383	Betaproteobacteria	3,694,126	3,334
Unspecified	Unspecified	Betaproteobacteria	3,587,082	3,174
Unspecified	Unspecified	Betaproteobacteria	1,395,069	1,209
Burkholderia thailandensis	E264	Betaproteobacteria	3,809,201	3,276
Unspecified	Unspecified	Betaproteobacteria	2,914,771	2,358
Burkholderia xenovorans	LB400	Betaproteobacteria	4,895,836	4,430
Unspecified	Unspecified	Betaproteobacteria	3,363,523	2,960
Unspecified	Unspecified	Betaproteobacteria	1,471,779	1,312
Chromobacterium violaceum	ATCC12472	Betaproteobacteria	4,751,080	4,407
Dechloromonas aromatica	RCB	Betaproteobacteria	4,501,104	4,171
Methylobacillus flagellatus	KT	Betaproteobacteria	2,971,517	2,753
Neisseria gonorrhoeae	FA1090	Betaproteobacteria	2,153,922	2,002
Neisseria meningitidis	serogroup A strain Z2491	Betaproteobacteria	2,184,406	2,121
Neisseria meningitidis	serogroup B strain MC58	Betaproteobacteria	2,272,360	2,063
Nitrosomonas europaea	Schmidt	Betaproteobacteria	2,812,094	2,574
Nitrosospira multiformis	ATCC25196	Betaproteobacteria	3,184,243	2,757
Polaromonas species	JS666	Betaproteobacteria	5,200,264	4,817
Ralstonia eutropha	JMP134	Betaproteobacteria	3,806,533	3,439
Unspecified	Unspecified	Betaproteobacteria	2,726,152	2,407
Ralstonia metallidurans	CH34	Betaproteobacteria	3,928,089	3,601
Unspecified	Unspecified	Betaproteobacteria	2,580,084	2,313
Ralstonia solanacearum	GMI1000	Betaproteobacteria	3,716,413	3,441
Unspecified	Unspecified	Betaproteobacteria	2,094,509	1,679
Rhodoferax ferrireducens	DSM15236	Betaproteobacteria	4,712,337	4,170
Thiobacillus denitrificans	ATCC25259	Betaproteobacteria	2,909,809	2,827
