Club	City	Stadium	2009 season	Group
Atlético Nacional	Panama City	Estadio Javier Cruz	3rd in LNA	Group B
Chiriquí F.C.	Bugaba	Estadio San Cristóbal	Invited	Group B
Chiriquí Occidente F.C.	Puerto Armuelles	Estadio Glorias Deportivas Barüenses	Invited	Group B
Panamá Oeste	Arraiján	Cancha del Mystic	4th in LNA	Group B
Coclé F.C.	Penonomé	Estadio Virgilio Tejeira	Invited	Group B
Colón C-3	Colón	Estadio Armando Dely Valdés	Invited	Group A
El Tecal	Arraiján	Cancha del Mystic	9th in LNA	Group B
Génesis	Panama City	Cancha de Entrenamiento Luis Tapia	10th in LNA	Group A
Independiente F.C.	La Chorrera	Estadio Agustín Sánchez	7th in LNA	Group B
Millenium F.C.	Panama City	Cancha de Entrenamiento Luis Tapia	8th in LNA	Group A
Orión	San Miguelito	Cancha de Entrenamiento Luis Tapia	5th in LNA (Runner-up)	Group A
Pan de Azúcar	San Miguelito	Cancha de Entrenamiento Luis Tapia	6th in LNA	Group A
Tierra Firme F.C.	San Miguelito	Cancha de Entrenamiento Luis Tapia	2nd in LNA	Group A
Río Abajo F.C.	Panama City	Cancha de Entrenamiento Luis Tapia	1st in LNA (Champion)	Group A
SUNTRACS F.C.	San Miguelito	Cancha de Entrenamiento Luis Tapia	Copa Rommel Fernández champion	Group A
Veraguas 2010	Santiago	Estadio Áristocles Castillo	Invited	Group B
