City (Utility)	Residential Monthly usage: 1000 kWh	Small power Power demand: 40 kW; Consumption 10,000 kWh, load factor: 35%.	Medium power Power demand: 1,000 kW; Consumption: 400,000 kWh, load factor: 56 %.	Large power Power demand: 50,000 kW; Consumption: 30,600,000 kWh, load factor: 85%.
St. John's ( Newfoundland Power / NL Hydro )	11.80	11.83	9.05	3.98
Charlottetown ( Maritime Electric )	14.51	15.18	12.68	8.36
Halifax ( Nova Scotia Power )	15.01	14.25	11.99	9.00
Moncton ( NB Power )	11.82	12.46	10.98	6.86
Montreal ( Hydro-Québec )	6.76	8.85	7.19	4.51
Ottawa ( Hydro Ottawa )	13.14	12.94	11.42	10.58
Toronto ( Toronto Hydro )	13.57	13.41	11.43	10.46
Winnipeg ( Manitoba Hydro )	7.46	7.29	5.62	3.69
Regina ( SaskPower )	12.54	10.31	9.08	5.67
Edmonton ( EPCOR )	12.90	12.41	11.07	6.97
Calgary ( ENMAX )	13.89	11.24	9.53	8.28
