Year	Theme	Artist	Issue Price	Special Notes
2008	Calgary Flames	N/A	15.95	From Coin and Puck Set
2008	Calgary Flames	N/A	24.95	From Calgary Flames Gift Set
2008	Edmonton Oilers	N/A	15.95	From Coin and Puck Set
2008	Edmonton Oilers	N/A	24.95	From Edmonton Oilers Gift Set
2008	Montreal Canadiens	N/A	15.95	From Coin and Puck Set
2008	Montreal Canadiens	N/A	24.95	From Montreal Canadiens Gift Set
2008	Ottawa Senators	N/A	15.95	From Coin and Puck Set
2008	Ottawa Senators	N/A	24.95	From Ottawa Senators Gift Set
2008	Toronto Maple Leafs	N/A	15.95	From Coin and Puck Set
2008	Toronto Maple Leafs	N/A	24.95	From Toronto Maple Leafs Gift Set
2008	Vancouver Canucks	N/A	15.95	From Coin and Puck Set
2008	Vancouver Canucks	N/A	24.95	From Vancouver Canucks Gift Set
2009	Calgary Flames	N/A	24.95	From Calgary Flames Gift Set
2009	Edmonton Oilers	N/A	24.95	From Edmonton Oilers Gift Set
2009	Montreal Canadiens	N/A	24.95	From Montreal Canadiens Gift Set
2009	Ottawa Senators	N/A	24.95	From Ottawa Senators Gift Set
2009	Toronto Maple Leafs	N/A	24.95	From Toronto Maple Leafs Gift Set
2009	Vancouver Canucks	N/A	24.95	From Vancouver Canucks Gift Set
