Driver	Constructor	Laps	Time/Retired	Grid
Jackie Stewart	Matra - Ford	14	2:19:03.2	6
Graham Hill	Lotus - Ford	14	+ 4:03.2	4
Jochen Rindt	Brabham - Repco	14	+ 4:09.4	3
Jacky Ickx	Ferrari	14	+ 5:55.2	1
Jack Brabham	Brabham - Repco	14	+ 6:21.1	15
Pedro Rodríguez	BRM	14	+ 6:25.0	14
Denny Hulme	McLaren - Ford	14	+ 6:31.0	11
Piers Courage	BRM	14	+ 7:56.4	8
Dan Gurney	Eagle - Weslake	14	+ 8:13.7	10
Hubert Hahne	Lola - BMW	14	+ 10:11.4	18
Jackie Oliver	Lotus - Ford	13	+ 1 Lap	13
Kurt Ahrens, Jr.	Brabham - Repco	13	+ 1 Lap	17
Bruce McLaren	McLaren - Ford	13	+ 1 Lap	16
Richard Attwood	BRM	13	+ 1 Lap	20
Chris Amon	Ferrari	11	Accident	2
Jean-Pierre Beltoise	Matra	8	Accident	12
Jo Siffert	Lotus - Ford	6	Ignition	9
Lucien Bianchi	Cooper - BRM	6	Fuel Leak	19
John Surtees	Honda	3	Ignition	7
Vic Elford	Cooper - BRM	0	Accident	5
