Municipality	FIPS code	Founded	Population (2010)	Area
Adjuntas	001	1815	19,483	66.69 sq mi (172.73 sq km)
Aguada	003	1508	41,959	30.85 sq mi (79.90 sq km)
Aguadilla	005	1780	60,949	36.53 sq mi (94.61 sq km)
Aguas Buenas	007	1838	28,659	30.08 sq mi (77.92 sq km)
Aibonito	009	1824	25,900	31.31 sq mi (81.10 sq km)
Añasco	011	1733	29,261	39.29 sq mi (101.75 sq km)
Arecibo	013	1616	96,440	125.95 sq mi (326.20 sq km)
Arroyo	015	1855	19,575	15.01 sq mi (38.87 sq km)
Barceloneta	017	1881	24,816	18.69 sq mi (48.41 sq km)
Barranquitas	019	1803	30,318	34.25 sq mi (88.71 sq km)
Bayamón	021	1772	208,116	44.32 sq mi (114.80 sq km)
Cabo Rojo	023	1771	50,917	70.37 sq mi (182.27 sq km)
Caguas	025	1775	142,893	58.60 sq mi (151.77 sq km)
Camuy	027	1807	35,159	46.35 sq mi (120.06 sq km)
Canóvanas	029	1909	47,648	32.87 sq mi (85.12 sq km)
Carolina	031	1816	176,762	45.32 sq mi (117.38 sq km)
Cataño	033	1927	28,140	4.84 sq mi (12.55 sq km)
Cayey	035	1773	48,119	51.93 sq mi (134.51 sq km)
Ceiba	037	1838	13,631	29.04 sq mi (75.20 sq km)
Ciales	039	1820	18,782	66.53 sq mi (172.31 sq km)
Cidra	041	1809	43,480	36.02 sq mi (93.29 sq km)
Coamo	043	1579	40,512	78.10 sq mi (202.27 sq km)
Comerío	045	1826	20,778	28.40 sq mi (73.56 sq km)
Corozal	047	1795	37,142	42.57 sq mi (110.26 sq km)
Culebra	049	1880	1,818	11.62 sq mi (30.10 sq km)
Dorado	051	1842	38,165	23.09 sq mi (59.80 sq km)
Fajardo	053	1772	36,993	29.86 sq mi (77.34 sq km)
Florida	054	1971	12,680	15.21 sq mi (39.39 sq km)
Guánica	055	1508	19,427	37.05 sq mi (95.96 sq km)
Guayama	057	1736	45,362	64.99 sq mi (168.32 sq km)
Guayanilla	059	1833	21,581	42.27 sq mi (109.48 sq km)
Guaynabo	061	1769	97,924	27.58 sq mi (71.43 sq km)
Gurabo	063	1815	45,369	27.89 sq mi (72.23 sq km)
Hatillo	065	1823	41,953	41.78 sq mi (108.21 sq km)
Hormigueros	067	1874	17,250	11.34 sq mi (29.37 sq km)
Humacao	069	1722	58,466	44.75 sq mi (115.90 sq km)
Isabela	071	1819	45,631	55.30 sq mi (143.23 sq km)
Jayuya	073	1911	16,642	44.53 sq mi (115.33 sq km)
Juana Díaz	075	1798	50,747	60.28 sq mi (156.12 sq km)
Juncos	077	1797	40,290	26.49 sq mi (68.61 sq km)
Lajas	079	1883	25,753	59.95 sq mi (159.15 sq km)
Lares	081	1827	30,753	61.45 sq mi (159.15 sq km)
Las Marías	083	1871	9,881	46.36 sq mi (120.07 sq km)
Las Piedras	085	1773	38,675	33.88 sq mi (87.75 sq km)
Loíza	087	1719	30,060	19.37 sq mi (50.17 sq km)
Luquillo	089	1797	20,068	25.81 sq mi (66.85 sq km)
Manatí	091	1738	44,113	46.13 sq mi (119.48 sq km)
Maricao	093	1874	6,276	36.62 sq mi (94.85 sq km)
Maunabo	095	1799	12,225	21.07 sq mi (54.57 sq km)
Mayagüez	097	1760	89,080	77.65 sq mi (201.11 sq km)
Moca	099	1772	40,109	50.34 sq mi (130.38 sq km)
Morovis	101	1818	32,610	38.87 sq mi (100.67 sq km)
Naguabo	103	1821	26,720	51.66 sq mi (133.80 sq km)
Naranjito	105	1824	30,402	27.40 sq mi (70.97 sq km)
Orocovis	107	1772	23,423	63.62 sq mi (164.78 sq km)
Patillas	109	1811	19,277	46.7 sq mi (120.95 sq km)
Peñuelas	111	1793	24,282	44.62 sq mi (115.57 sq km)
Ponce	113	1692	166,327	114.76 sq mi (297.23 sq km)
Quebradillas	115	1823	25,919	22.68 sq mi (58.74 sq km)
Rincón	117	1771	15,200	14.29 sq mi (37.01 sq km)
Río Grande	119	1840	54,304	60.62 sq mi (157.01 sq km)
Sabana Grande	121	1813	25,265	35.83 sq mi (92.80 sq km)
Salinas	123	1851	31,078	69.37 sq mi (179.67 sq km)
San Germán	0125	1573	35,527	54.50 sq mi (141.15 sq km)
San Juan	127	1509	395,326	47.85 sq mi (123.93 sq km)
San Lorenzo	129	1811	41,058	53.11 sq mi (137.55 sq km)
San Sebastián	131	1752	42,430	70.42 sq mi (182.39 sq km)
Santa Isabel	133	1842	23,274	34.02 sq mi (88.119 sq km)
Toa Alta	135	1751	74,066	27.02 sq mi (69.98 sq km)
Toa Baja	137	1745	89,609	23.24 sq mi (60.19 sq km)
Trujillo Alto	139	1801	74,842	20.76 sq mi (53.77 sq km)
Utuado	141	1739	33,149	113.53 sq mi (294.04 sq km)
Vega Alta	143	1775	39,951	27.73 sq mi (71.82 sq km)
Vega Baja	145	1776	59,662	45.86 sq mi (118.78 sq km)
Vieques	147	1852	9,301	50.77 sq mi (131.49 sq km)
Villalba	149	1917	26,073	35.64 sq mi (92.31 sq km)
Yabucoa	151	1793	37,941	55.21 sq mi (142.99 sq km)
Yauco	153	1756	42,043	68.19 sq mi (176.61 sq km)
