District	Incumbent	Party	First elected	Result	Candidates
New York 1	Silas Wood	Adams	1818	Re-elected	Silas Wood (A) 97.9% Tredwell Scudder 2.1%
New York 2	Joshua Sands	Adams	1802 1824	Retired Jacksonian gain	John J. Wood (J) 54.7% John T. Smith (A) 45.3%
New York 4	Aaron Ward	Adams	1824	Re-elected	Aaron Ward (A) 59.6% John Haff (J) 40.4%
New York 6	John Hallock, Jr.	Jacksonian	1824	Re-elected	John Hallock, Jr. (J) 56.8% Hector Craig (J) 43.2%
New York 8	James Strong	Adams	1818 1822	Re-elected	James Strong (A) 59.8% Walter Patterson (A?) 40.2%
New York 10	Stephen Van Rensselaer	Adams	1822 (special)	Re-elected	Stephen Van Rensselaer (A) 100%
New York 11	Henry Ashley	Jacksonian	1824	Retired Jacksonian hold	Selah R. Hobbie (J) 58.9% Isaac Burr (A) 41.1%
New York 12	William Dietz	Jacksonian	1824	Retired Jacksonian hold	John I. De Graff (J) 100%
New York 14	Henry R. Storrs	Adams	1816 1822	Re-elected	Henry R. Storrs (A) 69.8% Ezekiel Bacon (J) 30.2%
New York 16	Henry Markell	Adams	1824	Re-elected	Henry Markell (A) 51.6% Aaron Haring (J) 48.4%
New York 19	Henry Ross	Adams	1824	Retired Jacksonian gain	Richard Keese (J) 52.4% Asa Hascall (A) 47.6%
New York 21	Elias Whitmore	Adams	1824	Retired Jacksonian gain	John C. Clark (J) 52.6% Robert Monell (J) 47.4%
New York 22	John Miller	Adams	1824	Lost re-election Jacksonian gain	John G. Stower (J) 52.0% John Miller (A) 48.0%
New York 23	Luther Badger	Adams	1824	Lost re-election Jacksonian gain	Jonas Earll, Jr. (J) 51.8% Luther Badger (A) 48.2%
New York 24	Charles Kellogg	Jacksonian	1824	Retired Jacksonian hold	Nathaniel Garrow (J) 54.1% Elijah Miller (A) 45.9%
New York 27	Moses Hayden	Adams	1822	Retired Adams hold	Daniel D. Barnard (A) 52.3% Enos Pomeroy 47.7%
