Position	Team	Played	Drawn	Lost	Goals For	Goals Against	Goal Difference	Points 1
1	Vauxhall Motors	34	8	1	68	17	+51	58
2	Maine Road	34	7	5	96	40	+56	51
3	Chadderton	34	9	5	71	29	+42	49
4	Wren Rovers	34	10	5	77	45	+32	48
5	Nantwich Town	34	4	10	66	28	+38	44
6	Newcastle Town	34	10	9	53	37	+16	40
7	Great Harwood Town	34	6	12	52	40	+12	38
8	Maghull	34	13	9	46	44	+2	35
9	Bacup Borough	34	12	11	55	57	−2	34
10	Daisy Hill	34	6	16	36	49	−13	30
11	Atherton Collieries	34	11	14	52	58	−6	29
12	Padiham	34	10	15	39	57	−18	28
13	Glossop	34	7	17	42	60	−18	27
14	Cheadle Town	34	7	17	46	67	−21	27
15	Oldham Town	34	11	17	46	66	−20	23
16	Blackpool Mechanics	34	5	20	46	72	−26	23
17	Ashton Town	34	11	19	31	68	−37	19
18	Newton	34	5	28	23	111	−88	7
