Result	Date	Race	Venue	Group	Distance	Weight (kg)	Time	Jockey	Winner/2nd
4th	19 Aug 2007	3yo Maiden	Sale	NA	1208m	57.0	1:12.89	L. Nolen	1st - Aceland Street
Won	2 Sep 2007	3yo Maiden	Cranbourne	NA	1200m	57.0	1:11.65	C. Symons	2nd - Embracing
Won	19 Sep 2007	3yo Rst72	Sandown	NA	1300m	57.0	1:15.94	B. Rawiller	2nd - Simplest
Won	30 Sep 2007	3yo Open	Sandown	NA	1400m	57.0	1:24.23	B. Rawiller	2nd - Viatorian
Won	13 Oct 2007	Caulfield Guineas	Caulfield	G1	1600m	55.5	1:36.42	B. Rawiller	2nd - Scenic Blast
Won	3 Nov 2007	Ascot Vale Stakes	Flemington	G1	1200m	55.5	1:08.95	B. Rawiller	2nd - Bel Mer
10th	10 Nov 2007	Emirates Stakes	Flemington	G1	1600m	51.5	1:35.98	D. Nikolic	1st - Tears I Cry
Won	23 Feb 2008	Oakleigh Plate	Caulfield	G1	1100m	53.0	1:03.22	B. Rawiller	2nd - Magnus
Won	8 Mar 2008	Newmarket Handicap	Flemington	G1	1200m	56.0	1:08.97	B. Rawiller	2nd - Magnus
Won	29 Mar 2008	Randwick Guineas	Randwick	G1	1600m	56.5	1:36.30	B. Rawiller	2nd - Triple Honour
