County	Won by	Walker %	Walker votes	Barrett %	Barrett votes
Adams	Walker	52	3748	46	3298
Ashland	Barrett	37	2205	62	3664
Barron	Walker	55	8486	44	6746
Bayfield	Barrett	41	2961	58	4185
Brown	Walker	56	49567	43	37549
Buffalo	Walker	54	2610	45	2174
Burnett	Walker	57	3479	42	2555
Calumet	Walker	60	11152	38	7065
Chippewa	Walker	56	11901	41	8753
Clark	Walker	61	6368	37	3844
Columbia	Walker	52	11059	47	10014
Crawford	Barrett	47	2792	51	3062
Dane	Barrett	31	68238	68	149699
Dodge	Walker	66	20568	33	10138
Door	Walker	50	6932	48	6719
Douglas	Barrett	41	6255	57	8703
Dunn	Walker	54	7282	44	5972
Eau Claire	Barrett	49	18018	50	18454
Florence	Walker	65	1197	33	612
Fond du Lac	Walker	64	24407	35	13145
Forest	Walker	53	1790	46	1565
Grant	Walker	52	8611	46	7573
Green	Barrett	49	6391	50	6567
Green Lake	Walker	64	4488	32	2262
Iowa	Barrett	44	3867	54	4750
Iron	Walker	53	1336	46	1139
Jackson	Walker	51	3428	48	3219
Jefferson	Walker	61	19155	38	11909
Juneau	Walker	56	4502	42	3358
Kenosha	Walker	51	25136	48	23312
Kewaunee	Walker	57	4577	41	3345
La Crosse	Walker	49	20754	49	20639
Lafayette	Walker	52	2926	46	2566
Langlade	Walker	61	4481	38	2754
Lincoln	Walker	55	6201	43	4872
Manitowoc	Walker	60	18234	39	11784
Marathon	Walker	58	28516	40	20028
Marinette	Walker	57	8222	42	6127
Marquette	Walker	58	3483	40	2384
Menominee	Barrett	22	166	78	586
Milwaukee	Barrett	38	128612	62	209932
Monroe	Walker	58	7570	40	5199
Oconto	Walker	59	8131	39	5380
Oneida	Walker	55	8773	43	6762
Outagamie	Walker	54	35143	45	29223
Ozaukee	Walker	69	29879	31	13233
Pepin	Walker	53	1279	45	1093
Pierce	Walker	53	7067	45	5925
Polk	Walker	59	8842	39	5752
Portage	Barrett	46	12794	52	14463
Price	Walker	52	3284	45	2858
Racine	Walker	56	40813	43	31333
Richland	Walker	53	3293	46	2866
Rock	Barrett	46	23813	53	27424
Rusk	Walker	56	3045	40	2170
St. Croix	Walker	62	17298	37	10329
Sauk	Walker	50	11044	49	10741
Sawyer	Walker	58	3766	41	2650
Shawano	Walker	60	8663	38	5487
Sheboygan	Walker	63	29657	36	16720
Taylor	Walker	62	4212	35	2370
Trempealeau	Barrett	49	4898	49	4928
Vernon	Walker	50	5441	48	5278
Vilas	Walker	63	6595	36	3773
Walworth	Walker	65	22733	34	11870
Washburn	Walker	53	3533	45	2974
Washington	Walker	75	44222	24	14276
Waukesha	Walker	72	134608	28	52684
Waupaca	Walker	59	10596	40	7072
Waushara	Walker	60	5178	38	3284
Winnebago	Walker	54	33044	44	27141
