2010 ARWU Rankings	2010 QS World Rankings	2010 QS Asian Rankings	2010 eduniversal Rankings	2009 QS Asian Rankings: Int’l faculty review	2009 QS Asian Rankings: Int’l student review	2000 Singapore “Asiaweek” Rankings	University	Local	Median ranks
none	551-600	113=	3rd class	010	300	70	Fu Jen Catholic University	New Taipei	01
406	none	089=	none	236	209	none	Chang Gung University	Taoyuan	02
none	none	151=	none	138	195	none	Feng Chia University	Taichung	03
none	none	none	none	036	144	none	Ming Chuan University	Taipei	04
none	none	none	none	038	320	none	Tunghai University	Taichung	05
none	none	none	none	083	317	none	Soochow University (Taiwan)	Taipei	06
none	none	none	none	110	268	none	Tamkang University	New Taipei	07
none	none	none	none	178	311	none	Chung Yuan Christian University	Taoyuan	08
none	none	none	none	324=	243	none	Yuan Ze University	Taoyuan	09
none	none	none	none	324=	354	none	Tatung University	Taipei	10
