Week	Date	Opponent	Result	Attendance
1	September 9, 1990	at New York Giants	L 27–20	76,202
2	September 16, 1990	Phoenix Cardinals	L 23–21	64,396
3	September 23, 1990	at Los Angeles Rams	W 27–21	63,644
4	September 30, 1990	Indianapolis Colts	L 24–23	62,067
5	Bye	Bye	Bye	Bye
6	October 15, 1990	Minnesota Vikings	W 32–24	66,296
7	October 21, 1990	at Washington Redskins	L 13–7	53,567
8	October 28, 1990	at Dallas Cowboys	W 21–20	62,605
9	November 4, 1990	New England Patriots	W 48–20	65,514
10	November 12, 1990	Washington Redskins	W 28–14	65,857
11	November 18, 1990	at Atlanta Falcons	W 24–23	53,755
12	November 25, 1990	New York Giants	W 31–13	66,706
13	December 2, 1990	at Buffalo Bills	L 30–23	79,320
14	December 9, 1990	at Miami Dolphins	L 23–20	67,034
15	December 16, 1990	Green Bay Packers	W 31–0	65,627
16	December 23, 1990	Dallas Cowboys	W 17–3	63,895
17	December 29, 1990	at Phoenix Cardinals	W 23–21	31,796
