Entrant	Constructor	Chassis	Engine †	Tyre	Driver	Rounds	Free Practice driver(s)
Scuderia Ferrari Marlboro	Ferrari	F2004	Ferrari 053	B	Michael Schumacher	All	N/A
Scuderia Ferrari Marlboro	Ferrari	F2004	Ferrari 053	B	Rubens Barrichello	All	N/A
BMW WilliamsF1 Team	Williams - BMW	FW26	BMW P84	M	Juan Pablo Montoya	All	N/A
BMW WilliamsF1 Team	Williams - BMW	FW26	BMW P84	M	Ralf Schumacher	1–9, 16–18	N/A
BMW WilliamsF1 Team	Williams - BMW	FW26	BMW P84	M	Marc Gené 1	10–11	N/A
BMW WilliamsF1 Team	Williams - BMW	FW26	BMW P84	M	Antônio Pizzonia 2	12–15	N/A
West McLaren Mercedes	McLaren - Mercedes	MP4-19 MP4-19B	Mercedes FO 110Q	M	David Coulthard	All	N/A
West McLaren Mercedes	McLaren - Mercedes	MP4-19 MP4-19B	Mercedes FO 110Q	M	Kimi Räikkönen	All	N/A
Mild Seven Renault F1 Team	Renault	R24	Renault RS24	M	Jarno Trulli	1–15	N/A
Mild Seven Renault F1 Team	Renault	R24	Renault RS24	M	Jacques Villeneuve 3	16–18	N/A
Mild Seven Renault F1 Team	Renault	R24	Renault RS24	M	Fernando Alonso	All	N/A
Lucky Strike BAR Honda	BAR - Honda	006	Honda RA004E	M	Jenson Button	All	Anthony Davidson
Lucky Strike BAR Honda	BAR - Honda	006	Honda RA004E	M	Takuma Sato	All	Anthony Davidson
Sauber Petronas	Sauber - Petronas	C23	Petronas 04A	B	Giancarlo Fisichella	All	N/A
Sauber Petronas	Sauber - Petronas	C23	Petronas 04A	B	Felipe Massa	All	N/A
Jaguar Racing	Jaguar - Cosworth	R5	Cosworth CR-6	M	Mark Webber	All	Björn Wirdheim
Jaguar Racing	Jaguar - Cosworth	R5	Cosworth CR-6	M	Christian Klien	All	Björn Wirdheim
Panasonic Toyota Racing	Toyota	TF104 TF104B	Toyota RVX-04	M	Cristiano da Matta 4	1–12	Ricardo Zonta Ryan Briscoe
Panasonic Toyota Racing	Toyota	TF104 TF104B	Toyota RVX-04	M	Ricardo Zonta 5	13–16	Ricardo Zonta Ryan Briscoe
Panasonic Toyota Racing	Toyota	TF104 TF104B	Toyota RVX-04	M	Jarno Trulli 6	17–18	Ricardo Zonta Ryan Briscoe
Panasonic Toyota Racing	Toyota	TF104 TF104B	Toyota RVX-04	M	Olivier Panis 7	1–17	Ricardo Zonta Ryan Briscoe
Panasonic Toyota Racing	Toyota	TF104 TF104B	Toyota RVX-04	M	Ricardo Zonta	18	Ricardo Zonta Ryan Briscoe
Jordan Ford	Jordan - Ford	EJ14	Ford RS2	B	Nick Heidfeld	All	Timo Glock Robert Doornbos 8
Jordan Ford	Jordan - Ford	EJ14	Ford RS2	B	Giorgio Pantano 9	1–7, 9–15	Timo Glock Robert Doornbos 8
Jordan Ford	Jordan - Ford	EJ14	Ford RS2	B	Timo Glock 10	8, 16–18	Timo Glock Robert Doornbos 8
Minardi Cosworth	Minardi - Cosworth	PS04B	Cosworth CR-3 L	B	Gianmaria Bruni	All	Bas Leinders
Minardi Cosworth	Minardi - Cosworth	PS04B	Cosworth CR-3 L	B	Zsolt Baumgartner	All	Bas Leinders
