Place	Player	Country	Score	To par
1	Tom Watson	United States	68-65=133	–7
T2	Brad Faxon	United States	69-65=134	–6
T2	Jesper Parnevik	Sweden	68-66=134	–6
4	Nick Price	Zimbabwe	69-66=135	–5
T5	David Edwards	United States	68-68=136	–4
T5	Jonathan Lomas	England	66-70=136	–4
T5	Frank Nobilo	New Zealand	69-67=136	–4
T5	Greg Turner	New Zealand	65-71=136	–4
T9	David Feherty	Northern Ireland	68-69=137	–3
T9	Ronan Rafferty	Northern Ireland	71-66=137	–3
T9	Loren Roberts	United States	68-69=137	–3
T9	Fuzzy Zoeller	United States	71-66=137	–3
