Code	Type	Name	Regional County Municipality	Region
52007	V	Lavaltrie	D'Autray	14
52017	M	Lanoraie	D'Autray	14
52030	M	Sainte-Élisabeth	D'Autray	14
52035	V	Berthierville	D'Autray	14
52040	M	Sainte-Geneviève-de-Berthier	D'Autray	14
52045	M	Saint-Ignace-de-Loyola	D'Autray	14
52050	M	La Visitation-de-l'Île-Dupas	D'Autray	14
52055	P	Saint-Barthélemy	D'Autray	14
52062	M	Saint-Cuthbert	D'Autray	14
52070	P	Saint-Norbert	D'Autray	14
52075	M	Saint-Cléophas-de-Brandon	D'Autray	14
52080	V	Saint-Gabriel	D'Autray	14
52085	P	Saint-Gabriel-de-Brandon	D'Autray	14
52090	P	Saint-Didace	D'Autray	14
52095	M	Mandeville	D'Autray	14
60005	V	Charlemagne	L'Assomption	14
60013	V	Repentigny	L'Assomption	14
60020	P	Saint-Sulpice	L'Assomption	14
60028	V	L'Assomption	L'Assomption	14
60035	V	L'Épiphanie	L'Assomption	14
60040	P	L'Épiphanie	L'Assomption	14
61005	M	Saint-Paul	Joliette	14
61013	M	Crabtree	Joliette	14
61020	VL	Saint-Pierre	Joliette	14
61025	V	Joliette	Joliette	14
61027	M	Saint-Thomas	Joliette	14
61030	V	Notre-Dame-des-Prairies	Joliette	14
61035	M	Saint-Charles-Borromée	Joliette	14
61040	P	Saint-Ambroise-de-Kildare	Joliette	14
61045	M	Notre-Dame-de-Lourdes	Joliette	14
61050	M	Sainte-Mélanie	Joliette	14
62007	M	Saint-Félix-de-Valois	Matawinie	14
62015	M	Saint-Jean-de-Matha	Matawinie	14
62020	M	Sainte-Béatrix	Matawinie	14
62025	M	Saint-Alphonse-Rodriguez	Matawinie	14
62030	M	Sainte-Marcelline-de-Kildare	Matawinie	14
62037	M	Rawdon	Matawinie	14
62047	M	Chertsey	Matawinie	14
62053	M	Entrelacs	Matawinie	14
62055	M	Notre-Dame-de-la-Merci	Matawinie	14
62060	M	Saint-Donat	Matawinie	14
62065	P	Saint-Côme	Matawinie	14
62070	M	Sainte-Émélie-de-l'Énergie	Matawinie	14
62075	P	Saint-Damien	Matawinie	14
62080	M	Saint-Zénon	Matawinie	14
62085	M	Saint-Michel-des-Saints	Matawinie	14
63005	P	Sainte-Marie-Salomé	Montcalm	14
63013	M	Saint-Jacques	Montcalm	14
63023	M	Saint-Alexis	Montcalm	14
63030	M	Saint-Esprit	Montcalm	14
63035	M	Saint-Roch-de-l'Achigan	Montcalm	14
63040	M	Saint-Roch-Ouest	Montcalm	14
63048	V	Saint-Lin–Laurentides	Montcalm	14
63055	M	Saint-Calixte	Montcalm	14
63060	M	Sainte-Julienne	Montcalm	14
63065	P	Saint-Liguori	Montcalm	14
64008	V	Terrebonne	Les Moulins	14
64015	V	Mascouche	Les Moulins	14
