Team	Head Coach	Years at School	Overall Record	Record at School	ACC Record
Boston College	Frank Spaziani	3	9–5	9–5	5–3
Clemson	Dabo Swinney	3	13–8	13–8	9–4
Duke	David Cutcliffe	3	53–44	9–15	4–12
Florida State	Jimbo Fisher	1	1–0	1–0	0–0
Georgia Tech	Paul Johnson	3	126–46	20–7	12–4
Maryland	Ralph Friedgen	10	66–46	66–46	38–34
Miami	Randy Shannon	4	21–17	21–17	11–13
North Carolina	Butch Davis	4	71–38	20–18	11–13
NC State	Tom O'Brien	4	91–66	16–21	9–15
Virginia	Mike London	1	24–5	0–0	0–0
Virginia Tech	Frank Beamer	24	229–115–4	187–92–2	38–10
