Year	Entrant	Chassis	Engine	Points
1950	Enrico Platé	Maserati 4CLT/48	Maserati Straight-4 s	5
1951	Ecurie Siam	Maserati 4CLT/48	Maserati Straight-4	0
1951	Ecurie Siam	Maserati 4CLT/48	OSCA V12	0
1952	Equipe Gordini	Gordini Type 15	Gordini Straight-4 s	0
1952	Equipe Gordini	Gordini Type 16	Gordini Straight-6	0
1953	Connaught Engineering	Connaught Type A	Lea-Francis Straight-4	0
1953	Scuderia Milano	Maserati A6GCM	Maserati Straight-6	0
1954	Officine Alfieri Maserati	Maserati A6GCM	Maserati Straight-6	3
1954	"B. Bira"	Maserati 250F	Maserati Straight-6	3
1955	"B. Bira"	Maserati 250F	Maserati Straight-6	0
