Model	Years	Engine	Displacement	Power	Fuel system
Berlina	1960-62	Lancia H4 ohv	1500cc	PS (kW; hp)	single carburetor
Coupé, Cab, Sport	1962	Lancia H4 ohv	1500cc	PS (kW; hp)	double carburetor
1500	1963-68	Lancia H4 ohv	1488cc	PS (kW; hp)	single carburetor
1800	1963-68	Lancia H4 ohv	1800cc	PS (kW; hp)	single carburetor
1800 Sport	1963-67	Lancia H4 ohv	1800cc	PS (kW; hp)	double carburetor
1800 Iniezione	1965-68	Lancia H4 ohv	1800cc	PS (kW; hp)	fuel injection
1500	1969-70	Lancia H4 ohv	1490cc	PS (kW; hp)	single carburetor
1800	1969-70	Lancia H4 ohv	1816cc	PS (kW; hp)	single carburetor
2000	1969-74	Lancia H4 ohv	1991cc	PS (kW; hp)	single carburetor
2000 Iniezione	1969-74	Lancia H4 ohv	1991cc	PS (kW; hp)	fuel injection
