Name	Pos.	Height	Weight	2012 club
Elizabeth Armstrong Category:Articles with hCards	GK	m ()	kg (lb)	Great Lakes WP Club
Heather Petri Category:Articles with hCards	D	m ()	kg (lb)	New York Athletic Club
Melissa Seidemann Category:Articles with hCards	CB	m ()	kg (lb)	Stanford University
Brenda Villa Category:Articles with hCards	D	m ()	kg (lb)	Orizzonte Catania
Lauren Wenger Category:Articles with hCards	D	m ()	kg (lb)	New York Athletic Club
Maggie Steffens Category:Articles with hCards	CB	m ()	kg (lb)	Diablo Water Polo
Courtney Mathewson Category:Articles with hCards	D	m ()	kg (lb)	New York Athletic Club
Jessica Steffens Category:Articles with hCards	CB	m ()	kg (lb)	New York Athletic Club
Elsie Windes Category:Articles with hCards	CB	m ()	kg (lb)	Tualatin Hills WPC
Kelly Rulon Category:Articles with hCards	D	m ()	kg (lb)	ASD Roma
Annika Dries Category:Articles with hCards	CF	m ()	kg (lb)	Stanford University
Kami Craig Category:Articles with hCards	CF	m ()	kg (lb)	Santa Barbara WP Foundation
Tumua Anae Category:Articles with hCards	GK	m ()	kg (lb)	SoCal
