Tie no	Home team	Score	Away team	Attendance
1	Liverpool	1 – 1	Everton	43,524
replay	Everton	1 – 0†	Liverpool	37,918
2	Manchester United	2 – 1	Tottenham Hotspur	75,014
3	Hull City	2 – 0	Millwall	18,639
4	Sunderland	0 – 0	Blackburn Rovers	22,634
replay	Blackburn Rovers	2 – 1†	Sunderland	10,112
5	Hartlepool United	0 – 2	West Ham United	6,849
6	Sheffield United	2 – 1	Charlton Athletic	15,957
7	Cardiff City	0 – 0	Arsenal	20,079
replay	Arsenal	4 – 0	Cardiff City	57,237
8	Portsmouth	0 – 2	Swansea City	17,357
9	Chelsea	3 – 1	Ipswich Town	41,137
10	Doncaster Rovers	0 – 0	Aston Villa	13,517
replay	Aston Villa	3 – 1	Doncaster Rovers	24,203
11	West Bromwich Albion	2 – 2	Burnley	18,294
replay	Burnley	3 – 1	West Bromwich Albion	6,635
12	Torquay United	0 – 1	Coventry City	6,018
13	Kettering Town	2 – 4	Fulham	5,406
14	Watford	4 – 3	Crystal Palace	10,006
15	Derby County	1 – 1	Nottingham Forest	32,035
replay	Nottingham Forest	2 – 3	Derby County	29,001
16	Wolverhampton Wanderers	1 – 2	Middlesbrough	18,013
