Branding	Callsign	Frequency	Power (kW)	Location
Hot FM 92.5 Santiago [ citation needed ]	DWHT	92.5MHz	5kW	Santiago City
Hot FM 92.1 Labo, Camarines Norte	DWBO	92.1MHz	5kW	Labo, Camarines Norte
Hot FM 93.1 Laoag	DWNA	93.1MHz	1kW	Laoag City
Hot FM 97.3 Solsona, Ilocos Norte	DWSO	97.3MHz	5kW	Solsona, Ilocos Norte
Hot FM 98.7 Ballesteros, Cagayan	DZBE	98.7MHz	5kW	Ballesteros, Cagayan
Hot FM 90.3 San Felipe, Zambales	DWZF	90.3MHz	1kW	San Felipe, Zambales
Hot FM 91.7 Sta. Cruz, Zambales	DWZZ	91.7MHz	1kW	Santa Cruz, Zambales
Hot FM 91.9 Olongapo	DWZO	91.9MHz	5kW	Olongapo
Hot FM 91.9 Botolan	DWZB	91.9MHz	1kW	Botolan, Zambales
Hot FM 93.3 Masinloc	DWZM	93.3MHz	1kW	Masinloc, Zambales
Hot FM 95.9 San Narciso	DWZN	95.9MHz	1kW	San Narciso, Zambales
Hot FM 97.5 Candelaria	DWZC	97.5MHz	1kW	Candelaria, Zambales
Hot FM 98.3 Castillejos	DWZJ	98.3MHz	1kW	Castillejos, Zambales
Hot FM 100.7 San Antonio	DWZA	100.7MHz	1kW	San Antonio, Zambales
Hot FM 106.1 San Marcelino	DWZL	106.1MHz	1kW	San Marcelino, Zambales
Hot FM 96.7 San Jose del Monte	DWRN	96.7MHz	2kW	San Jose Del Monte
Hot FM 98.3 Baliuag, Bulacan [ citation needed ]	DWSN	98.3MHz	1kW	Baliuag, Bulacan
Hot FM 92.7 Biñan	DZBN	92.7MHz	1kW	Biñan, Laguna
Hot FM 101.5 San Pablo	DWSP	101.5MHz	0.30kW	San Pablo
Hot FM 91.1 Cavite	DWCV	91.1MHz	1kW	Cavite
Hot FM 103.5 Lopez	DWQP	103.5MHz	5kW	Lopez Quezon
Hot FM 105.5 Tagkawayan, Quezon	DWQT	105.5MHz	1kW	Tagkawayan, Quezon
Hot FM 98.9 Roxas, Oriental Mindoro	DWOX	98.9MHz	1kW	Roxas, Oriental Mindoro
Hot FM 91.9 Calapan City	DWCO	91.9MHz	1kW	Calapan
Hot FM 94.5 Sipocot, Camarines Sur	DWSU	94.5MHz	1kW	Sipocot, Camarines Sur
Hot FM 103.5 Calabanga, Camarines Sur	DWCG	103.5MHz	1kW	Calabanga, Camarines Sur
Hot FM 103.9 Goa, Camarines Sur	DWGO	103.9MHz	5kW	Goa, Camarines Sur
Hot FM 96.7 Polangui	DWPJ	96.7MHz	2kW	Polangui, Albay
Hot FM 96.7 Tabaco [ citation needed ]	DWTJ	96.7MHz	1kW	Tabaco
Hot FM 98.5 Kalibo	DYYM	98.5MHz	5kW	Kalibo, Aklan
Power 104.3 (Formerly Hot FM 104.3 Pavia) *	DYPV	104.3MHz	0.5kW	Pavia, Iloilo
Hot FM 98.7 Calinog	DYCL	98.7MHz	2kW	Calinog, Iloilo
Mix FM Oton (formerly Hot FM Oton) *	DYOT	103.5MHz (formerly 95.7MHz)	0.5KW	Oton, Iloilo
Hot FM 106.9 Hamtic	DYHL	106.9MHz	1kW	Hamtic, Antique
Hot FM 96.1 Guimbal	DYIG	96.1MHz	1kW	Guimbal, Iloilo
Hot FM 92.9 Pototan	DYPT	92.9MHz	1kW	Pototan, Iloilo
Hot FM 104.3 Cadiz	DYCZ	104.3MHz	1kW	Cadiz
Hot FM 105.7 Hinigaran	DYSO	105.7MHz	1kW	Hinigaran, Negros Occidental
Hot FM 88.3 Sagay	DYRG	88.3MHz	2kW	Sagay
Hot FM 102.5 Sipalay	DYSY	102.5MHz	1kW	Sipalay
Hot FM 107.1 Ormoc	DYXC	107.1MHz	1kW	Ormoc
Hot FM 102.3 Ubay	DYZT	102.3MHz	0.5kW	Bohol
Hot FM 100.5 Dipolog City	DXBD	100.5MHz	5kW	Dipolog
Hot FM 106.1 Sindangan, Zamboanga del Norte	DXRE	106.1MHz	5kW	Sindangan, Zamboanga del Norte
Hot FM 89.7 Liloy, Zamboanga del Norte	DXXS	89.7MHz	1kW	Liloy, Zamboanga del Norte
Hot FM 105.3 Buug, Zamboanga Sibugay	DXXB	105.3MHz	1kW	Buug, Zamboanga Sibugay
Hot FM 95.3 Ipil, Zamboanga Sibugay	DXDS	95.3MHz	1kW	Ipil, Zamboanga Sibugay
Hot FM 87.9 Malvar, Zamboanga Sibugay	DXMV	87.9MHz	1kW	Malvar, Zamboanga Sibugay
Hot FM 89.5 Mainit, Surigao del Norte	DXMH	89.5MHz	1kW	Mainit, Surigao del Norte
