Player	Club	League	Play-offs	FA Cup	FA Trophy	Total
Stuart Fleetwood	Forest Green Rovers	28	0	6	2	36
Steve Morison	Stevenage Borough	22	0	0	1	23
Colin Little	Altrincham	21	0	1	1	24
John Grant	Aldershot Town	20	0	0	5	25
Jon Shaw	Halifax Town	20	0	1	4	25
Daryl Clare	Burton Albion	19	3	2	3	24
Tim Sills	Torquay United	19	1	0	2	22
Richard Logan	Exeter City	18	1	0	0	19
Chris Zebroski	Torquay United	18	2	0	0	20
Matt Tubbs	Salisbury City	18	0	0	0	18
Scott Rendell	Cambridge United	17	0	4	2	19
Mark Beesley	Forest Green Rovers / Cambridge United	17	0	2	0	19
Iyseden Christie	Kidderminster Harriers	17	0	0	0	17
