Name	Position	Period	Appearances¹	Goals¹	Nationality²
Thierry Bacconnier	Defender	1982 – 1988	96	2	France
Jacky Bade	Defender	1973 – 1976	67	0	France
Jean-Michel Badiane	Defender	2004 – 2006	15	1	France
Jean-Christophe Bahebeck	Forward	2011 –	28	3	France
Pierre Bajoc	Defender	1973 – 1974, 1976 – 1980	16	0	France
Souleymane Bamba	Defender	2004 – 2006	1	0	Ivory Coast
Albert Baning	Midfielder	2006 – 2010	4	0	Cameroon
Dominique Baratelli	Goalkeeper	1978 – 1985	281	0	France
Dominique Barberat	Midfielder	1975 – 1976	4	1	France
Claude Barrabé	Goalkeeper	1986 – 1987	6	0	France
Dominique Bathenay	Midfielder	1978 – 1985 †	273	35	France
Joël Bats	Goalkeeper	1985 – 1992	285	0	France
Denis Bauda	Defender	1974 – 1977	102	0	France
David Beckham	Midfielder	2013	14	0	England
Michel Béhier	Defender	1972 – 1973	31	1	France
Djamel Belmadi	Midfielder	1995 – 1996	1	0	Algeria
Jean-François Beltramini	Forward	1979 – 1981	36	14	France
Selim Benachour	Midfielder	2000 – 2005	43	2	Tunisia
Ali Benarbia	Midfielder	1999 – 2002	62	2	Algeria
Kamel Ben Mustapha	Forward	1972 – 1973	1	0	Tunisia
Michel Bensoussan	Goalkeeper	1974 – 1978	27	0	France
Bernard Béreau	Midfielder	1970 – 1974	92	11	France
Daniel Bernard	Goalkeeper	1977 – 1978	32	0	France
Dominique Berthaud	Midfielder	1975 – 1976	15	0	France
Armando Bianchi	Midfielder	1978 – 1980	46	5	Italy
Carlos Bianchi *	Forward	1977 – 1979	80	71	Argentina
Pierre Bianconi	Defender	1987 – 1988	6	0	France
Michel Bibard	Defender	1985 – 1991	181	2	France
Sylvain Bied	Goalkeeper	1984 – 1985	1	0	France
Milan Biševac	Defender	2011 - 2012	25	1	Serbia
Jules Bocandé	Forward	1986 – 1988	40	6	Senegal
Mathieu Bodmer	Midfielder	2010 –	91	13	France
Yannick Boli	Forward	2007 – 2010	4	1	France
Luc Borrelli	Goalkeeper	1993 – 1995	8	0	France
Branko Bošković	Midfielder	2003 – 2005	47	5	Serbia
Jean-Pierre Bosser	Defender	1989 – 1991	60	0	France
Saar Boubacar	Forward	1979 – 1983	113	30	Senegal
Grégory Bourillon	Defender	2007 – 2010	55	0	France
Jean-Claude Bras	Forward	1970 – 1972	56	21	France
Daniel Bravo	Midfielder	1989 – 1996	275	26	France
François Brisson	Midfielder	1975 – 1979, 1980 – 1981	86	7	France
Gilles Brisson	Defender	1977 – 1978	8	0	France
Jean-Louis Brost	Forward	1970 – 1974	89	19	France
Carlos Bueno	Forward	2005 – 2006	16	2	Uruguay
