Date	Opponent	Score	Loss	Attendance	Record
April 5	@ Red Sox	7 - 1	Eckersley (0-1)	33,852	1-0
April 7	@ Red Sox	7 - 4	Leal (0-1)	9,603	1-1
April 9	Yankees	7 - 4	Gossage (0-1)	36,459	2-1
April 10	Yankees	3 - 0	Stieb (1-1)	23,093	2-2
April 12	Brewers	6 - 5	Morgan (0-1)	11,413	2-3
April 13	Brewers	7 - 2	Caldwell (0-2)	10,809	3-3
April 14	Brewers	5 - 4	McLaughlin (0-1)	10,127	3-4
April 15	@ Yankees	6 - 5	May (0-1)	15,092	4-4
April 16	@ Yankees	Postponed (rain) Rescheduled for August 8	Postponed (rain) Rescheduled for August 8	Postponed (rain) Rescheduled for August 8	Postponed (rain) Rescheduled for August 8
April 17	@ Yankees	7 - 5	Clancy (1-1)	50,200	4-5
April 18	@ Yankees	3 - 0	Leal (0-2)	11,148	4-6
April 19	Indians	9 - 7	Spillner (0-1)	10,358	5-6
April 20	Indians	4 - 1	Sorensen (0-3)	10,173	6-6
April 22	@ Royals	6 - 5	Jackson (1-1)	16,172	6-7
April 23	@ Royals	5 - 4	Quisenberry (1-1)	19,906	7-7
April 24	@ Royals	7 - 1	Gott (0-1)	18,522	7-8
April 26	@ Rangers	2 - 1	Stieb (3-2)	17,380	7-9
April 27	@ Rangers	3 - 2	Darwin (1-2)	7,518	8-9
April 29	White Sox	9 - 3	Leal (0-3)	13,212	8-10
April 30	White Sox	Postponed (rain) Rescheduled for July 26	Postponed (rain) Rescheduled for July 26	Postponed (rain) Rescheduled for July 26	Postponed (rain) Rescheduled for July 26
