Entrant	Constructor	Chassis	Engine †	Tyre	Driver	Rounds
Winfield Williams	Williams - Mecachrome	FW20	Mecachrome GC37-01	G	Jacques Villeneuve	All
Winfield Williams	Williams - Mecachrome	FW20	Mecachrome GC37-01	G	Heinz-Harald Frentzen	All
Scuderia Ferrari Marlboro	Ferrari	F300	Ferrari 047	G	Michael Schumacher	All
Scuderia Ferrari Marlboro	Ferrari	F300	Ferrari 047	G	Eddie Irvine	All
Mild Seven Benetton Playlife	Benetton - Playlife	B198	Playlife GC37-01	B	Giancarlo Fisichella	All
Mild Seven Benetton Playlife	Benetton - Playlife	B198	Playlife GC37-01	B	Alexander Wurz	All
West McLaren Mercedes	McLaren - Mercedes	MP4-13	Mercedes FO110G	B	David Coulthard	All
West McLaren Mercedes	McLaren - Mercedes	MP4-13	Mercedes FO110G	B	Mika Häkkinen	All
Benson and Hedges Jordan	Jordan - Mugen-Honda	198	Mugen-Honda MF-301 HC	G	Damon Hill	All
Benson and Hedges Jordan	Jordan - Mugen-Honda	198	Mugen-Honda MF-301 HC	G	Ralf Schumacher	All
Gauloises Prost Peugeot	Prost - Peugeot	AP01	Peugeot A16	B	Olivier Panis	All
Gauloises Prost Peugeot	Prost - Peugeot	AP01	Peugeot A16	B	Jarno Trulli	All
Red Bull Sauber Petronas	Sauber - Petronas	C17	Petronas SPE-01D	G	Jean Alesi	All
Red Bull Sauber Petronas	Sauber - Petronas	C17	Petronas SPE-01D	G	Johnny Herbert	All
Danka Zepter Arrows	Arrows	A19	Arrows T2-F1	B	Pedro Diniz	All
Danka Zepter Arrows	Arrows	A19	Arrows T2-F1	B	Mika Salo	All
Stewart Ford	Stewart - Ford	SF02	Ford VJ Zetec-R	B	Rubens Barrichello	All
Stewart Ford	Stewart - Ford	SF02	Ford VJ Zetec-R	B	Jan Magnussen	1–7
Stewart Ford	Stewart - Ford	SF02	Ford VJ Zetec-R	B	Jos Verstappen	8–16
Tyrrell Racing	Tyrrell - Ford	026	Ford JD Zetec-R	G	Ricardo Rosset	All
Tyrrell Racing	Tyrrell - Ford	026	Ford JD Zetec-R	G	Toranosuke Takagi	All
Fondmetal Minardi Team	Minardi - Ford	M198	Ford JD Zetec-R	B	Shinji Nakano	All
Fondmetal Minardi Team	Minardi - Ford	M198	Ford JD Zetec-R	B	Esteban Tuero	All
