Week	Date	Opponent	Result	Attendance
1	September 7, 1980	Tampa Bay Buccaneers	L 17–12	43,211
2	September 14, 1980	at Miami Dolphins	L 17–16	38,322
3	September 21, 1980	Pittsburgh Steelers	W 30–28	52,490
4	September 28, 1980	Houston Oilers	L 13–10	50,413
5	October 5, 1980	at Green Bay Packers	L 14–9	55,006
6	October 12, 1980	at Pittsburgh Steelers	W 17–16	53,668
7	October 19, 1980	Minnesota Vikings	W 14–0	44,487
8	October 26, 1980	at Houston Oilers	L 23–3	49,189
9	November 2, 1980	San Diego Chargers	L 31–14	46,406
10	November 9, 1980	at Oakland Raiders	L 28–17	44,132
11	November 16, 1980	Buffalo Bills	L 14–0	40,836
12	November 23, 1980	at Cleveland Browns	L 31–7	79,253
13	November 30, 1980	at Kansas City Chiefs	W 20–6	41,594
14	December 7, 1980	Baltimore Colts	W 34–33	35,651
15	December 14, 1980	at Chicago Bears	W 17–14	48,808
16	December 21, 1980	Cleveland Browns	L 27–24	50,058
