Game	March	Opponent	Score	Record
62	1	@ Washington Capitals	4 - 0	30-28-4
63	2	Washington Capitals	4 - 2	30-29-4
64	5	@ Winnipeg Jets	4 - 1	30-30-4
65	6	@ Calgary Flames	5 - 2	31-30-4
66	9	Philadelphia Flyers	4 - 1	31-31-4
67	11	@ New Jersey Devils	6 - 3	32-31-4
68	12	Calgary Flames	3 - 2	32-32-4
69	15	@ Pittsburgh Penguins	2 - 2 OT	32-32-5
70	16	New York Islanders	3 - 1	33-32-5
71	18	@ New York Islanders	6 - 2	33-33-5
72	22	@ Philadelphia Flyers	4 - 2	33-34-5
73	23	Chicago Black Hawks	5 - 3	33-35-5
74	25	@ New Jersey Devils	5 - 4	34-35-5
75	28	Edmonton Oilers	4 - 2	35-35-5
76	29	@ Philadelphia Flyers	8 - 2	35-36-5
77	31	New Jersey Devils	9 - 0	36-36-5
