Rank	Nation	Gold	Silver	Bronze
1	Greece	19	5	1
2	Italy	13	14	10
3	Romania	13	3	6
4	Germany	10	11	7
5	Ukraine	9	2	9
6	Czech Republic	8	8	7
7	Lithuania	6	2	1
8	France	6	0	7
9	Belarus	5	5	7
10	Poland	4	16	5
11	Estonia	3	3	1
12	Serbia	2	7	8
13	Russia	2	6	4
14	Netherlands	2	4	5
15	Denmark	2	3	0
16	Croatia	1	3	5
17	Austria	1	3	1
18	Switzerland	1	1	4
19	Bulgaria	1	0	2
20	Hungary	1	0	2
21	United Kingdom	0	4	4
22	Portugal	0	3	2
23	Spain	0	1	3
24	Norway	0	1	2
24	Sweden	0	1	2
26	Slovakia	0	1	1
27	Belgium	0	1	0
27	Finland	0	1	0
29	Slovenia	0	0	1
|| TOTAL	109	109	107	325
