Club	Played	Won	Drawn	Lost	Points for	Points against	Bonus points	Points
Club	Played	Won	Drawn	Lost	Points for	Points against	Bonus points	Points
Ospreys	20	14	0	6	461	374	8	64
Cardiff Blues	20	13	1	6	447	327	9	63
Leinster	20	12	1	7	472	376	11	61
Llanelli Scarlets	20	12	0	8	490	417	9	57
Ulster	20	11	1	8	423	310	9	55
Munster	20	12	0	8	379	294	6	54
Glasgow Warriors	20	11	0	9	434	419	5	49
Edinburgh Rugby	20	8	1	11	335	423	8	42
Newport Gwent Dragons	20	8	0	12	353	362	7	39
Connacht	20	4	2	14	326	474	6	26
Border Reivers	20	2	0	18	201	545	4	12
