Name	Country	Status	Moving to	Transfer window	Transfer fee
Akın	TUR	Contract ended	Kocaelispor	Summer	Free
De Man	BEL	Transferred	Roda JC	Summer	Undisclosed
Goor	BEL	Transferred	Germinal Beerschot	Winter	Undisclosed
Hassan	EGY	Contract ended	Al Ahly	Summer	Free
Kums	BEL	Transferred	Kortrijk	Summer	Undisclosed
Mpenza	BEL	Contract ended	Larissa	Summer	Free
Pareja	ARG	Transferred	Espanyol	Summer	Undisclosed
Pieroni	BEL	Loan ended	Nantes	Summer	n/a
Théréau	FRA	Transferred	Charleroi	Summer	Undisclosed
Tioté	CIV	Transferred	Twente	Summer	€ 2m
