Date	Opponent	Score	Loss	Record
September 1	White Sox	9 - 3	McCaskill (9-11)	76-57
September 2	White Sox	3 - 2	Key (8-13)	76-58
September 4	Twins	16 - 5	Tapani (14-10)	77-58
September 5	Twins	7 - 3	Smiley (14-7)	78-58
September 6	Twins	4 - 2	Trombley (0-1)	79-58
September 7	@ Royals	5 - 4 (12)	Wells (7-9)	79-59
September 8	@ Royals	5 - 0	Aquino (2-5)	80-59
September 9	@ Royals	1 - 0	Appier (15-8)	81-59
September 10	@ Rangers	Postponed (rain) Rescheduled for September 11	Postponed (rain) Rescheduled for September 11	Postponed (rain) Rescheduled for September 11
September 11	@ Rangers	7 - 5	Chiamparino (0-2)	82-59
September 11	@ Rangers	4 - 3	Stottlemyre (10-10)	82-60
September 12	@ Rangers	4 - 2	Smith (0-1)	83-60
September 13	@ Rangers	7 - 2	Brown (19-9)	84-60
September 14	Indians	2 - 1	Cone (2-2)	84-61
September 15	Indians	5 - 4	Embree (0-1)	85-61
September 16	Indians	6 - 3	Stottlemyre (10-11)	85-62
September 17	Indians	7 - 5 (10)	Plunk (8-4)	86-62
September 18	Rangers	13 - 0	Brown (19-10)	87-62
September 19	Rangers	1 - 0	Chiamparino (0-3)	88-62
September 20	Rangers	7 - 5	Guzmán (15-4)	88-63
September 22	@ Orioles	4 - 3	Sutcliffe (16-14)	89-63
September 23	@ Orioles	4 - 1	Morris (19-6)	89-64
September 24	@ Orioles	8 - 2	McDonald (12-13)	90-64
September 25	@ Yankees	3 - 1	Pérez (12-16)	91-64
September 26	@ Yankees	2 - 1	Guzmán (15-5)	91-65
September 27	@ Yankees	12 - 2	Sanderson (12-10)	92-65
September 29	Red Sox	5 - 2	Darwin (9-9)	93-65
September 30	Red Sox	1 - 0	Cone (4-3)	93-66
