Date	Visitor	Score	Home	Record
December 1	Colorado	3 – 5	NY Rangers	15–6–4
December 3	Dallas	7 – 6	Colorado	15–7–4
December 5	San Jose	2 – 12	Colorado	16–7–4
December 7	Edmonton	5 – 3	Colorado	16–8–4
December 9	Colorado	7 – 3	Ottawa	17–8–4
December 11	Colorado	5 – 1	Toronto	18–8–4
December 13	Colorado	3 – 4	Buffalo	18–9–4
December 15	Colorado	2 – 4	Hartford	18–10–4
December 18	Vancouver	4 – 2	Colorado	18–11–4
December 20	Colorado	4 – 1	Edmonton	19–11–4
December 22	St. Louis	1 – 2	Colorado	20–11–4
December 23	Colorado	2 – 2	Los Angeles	20–11–5
December 26	Colorado	5 – 1	San Jose	21–11–5
December 29	Toronto	2 – 3	Colorado	22–11–5
