Player	Height	Position	Year born	Current Club
Theodoros Papaloukas	2.00	Guard	1977	CSKA Moscow
Ioannis Bourousis	2.13	Center	1983	Olympiacos
Nikolaos Zisis	1.95	Guard	1983	CSKA Moscow
Vasileios Spanoulis	1.92	Guard	1982	Panathinaikos
Panagiotis Vasilopoulos	2.01	Forward	1984	Olympiacos
Michalis Pelekanos	1.98	Forward	1981	Real Madrid
Nikolaos Chatzivrettas	1.95	Guard	1977	Panathinaikos
Dimosthenis Dikoudis	2.06	Forward	1977	Panathinaikos
Konstantinos Tsartsaris	2.09	Center	1979	Panathinaikos
Dimitris Diamantidis	1.96	Guard	1980	Panathinaikos
Lazaros Papadopoulos	2.10	Center	1980	Real Madrid
Michail Kakiouzis	2.07	Forward	1976	CB Sevilla
