Date	Time	Opponent	Rank#	Site	Result	Attendance	Winning Pitcher	Losing Pitcher
Feb 15, 2004	1:30 PM	25 Michigan State Spartans	NR	USF Softball Field • Tampa, FL	W3-2 (8)	350	Jenny Gladding	Jessica Beech
Feb 15, 2004	6:0 PM	Seton Hall Pirates	NR	USF Softball Field • Tampa, FL	W6-0	200	Stacey Stevens	Casey McDevitt
Feb 16, 2004	1:00 PM	@ Hofstra Pride	NR	USF Softball Field • Tampa, FL	W4-0	156	Jenny Gladding	Adrienne Clark
Mar 11, 2004	5:30 PM	Michigan State Spartans	21	Titan Softball Complex • Fullerton, CA	W9-4	225	Stacey Stevens	Katie Joosten
Mar 11, 2004	10:00 PM	@ Cal State Fullerton Titans	21	Titan Softball Complex • Fullerton, CA	W2-0	233	Jenny Gladding	Brooke Weekley
Mar 12, 2004	4:00 PM	@ Cal State Northridge Matador	21	Matador Diamond • Northridge, CA	W6-1	120	Stacey Stevens	Kia Fennell
Mar 12, 2004	6:00 PM	@ Cal State Northridge Matador	21	Matador Diamond • Northridge, CA	W6-1	120	Jenny Gladding	Jenny Wheeler
Mar 27, 2004	4:00 PM	@ Ole Miss Rebels	16	Ole Miss Softball Complex • Oxford, MS	W4-1	102	Stacey Stevens	Mary Jane Callahan
Mar 27, 2004	4:00 PM	@ Ole Miss Rebels	16	Ole Miss Softball Complex • Oxford, MS	W3-0	102	Jenny Gladding	Dana Brill
Mar 28, 2004	2:00 PM	@ Ole Miss Rebels	16	Ole Miss Softball Complex • Oxford, MS	L0-1	141	Mary Jane Callahan	Jenny Gladding
Apr 7, 2004	4:00 PM	13@ Florida State Seminoles	3	Seminole Softball Complex • Tallahassee, FL	L0-2	386	Casey Hunter	Stacey Stevens
Apr 17, 2004	1:00 PM	11@ Tennessee Volunteers	12	Tyson Park • Knoxville, TN	L1-4	752	Monica Abbott	Stacey Stevens
Apr 17, 2004	3:00 PM	11@ Tennessee Volunteers	12	Tyson Park • Knoxville, TN	L0-3	752	Stacey Jennings	Amanda Moore
Apr 18, 2004	1:00 PM	11@ Tennessee Volunteers	12	Tyson Park • Knoxville, TN	L0-1 (10)	478	Monica Abbott	Stacey Stevens
Apr 24, 2004	2:00 PM	@ Mississippi State Bulldogs	17	Mississippi State Softball Field • Starkville, MS	L4-7	342	Melissa Massey	Stacey Stevens
Apr 24, 2004	4:00 PM	@ Mississippi State Bulldogs	17	Mississippi State Softball Field • Starkville, MS	L5-9	342	Kelli Miller	Amanda Moore
May 1, 2004	1:00 PM	3@ LSU Tigers	20	Tiger Park • Baton Rouge, LA	L0-4 (5)	Unknown	Kristin Schmidt	Amanda Knowles
May 2, 2004	11:00 AM	3@ LSU Tigers	20	Tiger Park • Baton Rouge, LA	L1-4	825	Kristin Schmidt	Stacey Stevens
May 2, 2004	1:00 PM	3@ LSU Tigers	20	Tiger Park • Baton Rouge, LA	W3-1	825	Stacey Stevens	Emily Turner
May 20, 2004^	3:00 PM	Cal State Northridge Matador	21	Seminole Softball Complex • Tallahassee, FL	L1-2	Unknown	Kia Fennell	Stacey Stevens
May 21, 2004^	10:00 AM	@ Long Island Blackbirds	21	Seminole Softball Complex • Tallahassee, FL	W4-0	Unknown	Amanda Moore	Chelsea Crosby
