Week	Date	Opponent	Result	Attendance
1	September 4, 1983	Baltimore Colts	L 29–23	45,526
2	September 11, 1983	at Miami Dolphins	L 34–24	59,343
3	September 18, 1983	New York Jets	W 23–13	43,182
4	September 25, 1983	at Pittsburgh Steelers	W 28–23	58,282
5	October 2, 1983	San Francisco 49ers	L 33–13	54,293
6	October 9, 1983	at Baltimore Colts	L 12–7	35,618
7	October 16, 1983	San Diego Chargers	W 37–21	59,016
8	October 23, 1983	at Buffalo Bills	W 31–0	60,424
9	October 30, 1983	at Atlanta Falcons	L 24–13	47,546
10	November 6, 1983	Buffalo Bills	W 21–7	42,604
11	November 13, 1983	Miami Dolphins	W 17–6	60,771
12	November 20, 1983	Cleveland Browns	L 30–0	40,987
13	November 27, 1983	at New York Jets	L 26–3	48,620
14	December 4, 1983	New Orleans Saints	W 7–0	24,579
15	December 11, 1983	at Los Angeles Rams	W 21–7	46,503
16	December 18, 1983	at Seattle Seahawks	L 24–6	59,688
