No. in series	Title	Directed by	Written by	Original air date	Production code
1	"Oliver Buys a Farm"	Ralph Levy	Jay Sommers	September15,1965	1
2	"Lisa's First Day on the Farm"	Ralph Levy	Jay Sommers and Dick Chevillat	September22,1965	2
3	"The Decorator"	Richard L. Bare	Jay Sommers and Dick Chevillat	September29,1965	3
4	"The Best Laid Plans"	Richard L. Bare	Jay Sommers and Dick Chevillat	October6,1965	4
5	"My Husband, the Rooster Renter"	Richard L. Bare	Jay Sommers and Dick Chevillat	October13,1965	5
6	"Furniture, Furniture, Who's Got the Furniture?"	Richard L. Bare	Jay Sommers and Dick Chevillat	October20,1965	6
7	"Neighborliness"	Richard L. Bare	Jay Sommers and Dick Chevillat	October27,1965	7
9	"You Can't Plug in a 2 with a 6"	Richard L. Bare	Jay Sommers and Dick Chevillat	November10,1965	9
10	"Don't Call Us, We'll Call You"	Richard L. Bare	Jay Sommers and Dick Chevillat	November17,1965	10
11	"Parity Begins at Home"	Richard L. Bare	Jay Sommers and Dick Chevillat	November24,1965	11
13	"The Wedding Anniversary"	Richard L. Bare	Jay Sommers and Dick Chevillat	December15,1965	13
14	"What Happened in Scranton?"	Richard L. Bare	Jay Sommers and Dick Chevillat	December22,1965	14
15	"How to Enlarge a Bedroom"	Richard L. Bare	Jay Sommers and Dick Chevillat	December29,1965	15
16	"Give Me Land, Lots of Land"	Richard L. Bare	Jay Sommers and Dick Chevillat	January5,1966	16
17	"I Didn't Raise My Husband to Be a Fireman"	Richard L. Bare	Jay Sommers and Dick Chevillat	January19,1966	17
18	"Lisa Bakes a Cake"	Richard L. Bare	Jay Sommers and Dick Chevillat	January26,1966	18
19	"Sprained Ankle, Country Style"	Richard L. Bare	Jay Sommers and Dick Chevillat	February2,1966	19
20	"The Price of Apples"	Richard L. Bare	Jay Sommers and Dick Chevillat	February9,1966	20
21	"What's in a Name?"	Richard L. Bare	Jay Sommers and Dick Chevillat	February16,1966	21
22	"The Day of Decision"	Richard L. Bare	Jay Sommers and Dick Chevillat	February23,1966	22
23	"A Pig in a Poke"	Richard L. Bare	Jay Sommers and Dick Chevillat	March9,1966	23
24	"The Deputy"	Richard L. Bare	Jay Sommers and Dick Chevillat	March16,1966	25
25	"Double Drick"	Richard L. Bare	Jay Sommers and Dick Chevillat	March23,1966	26
26	"The Ballad of Molly Turgis"	Richard L. Bare	Jay Sommers and Dick Chevillat	April6,1966	24
27	"Never Look a Gift Tractor in the Mouth"	Richard L. Bare	Jay Sommers and Dick Chevillat	April27,1966	28
28	"Send a Boy to College"	Richard L. Bare	Jay Sommers and Dick Chevillat	May4,1966	27
29	"Horse? What Horse?"	Richard L. Bare	Jay Sommers and Dick Chevillat	May11,1966	29
31	"Culture"	Richard L. Bare	Jay Sommers and Dick Chevillat	May25,1966	30
