Date	Champion	2nd Place	Score	Stadium
1996.1.7	Seven Six	Leos	20 - 6	Seoul Hyochang Stadium
1997.1.19	Bluegons	Blue Friends	18 - 6	Busan Sagick Stadium
1998.1.11	Seven Six	Bluegons	6 - 0	Kyungsung Univ. Stadium
1999.1.10	Blue Friends	Caps	12 - 6	Seoul Hyochang Stadium
2000.1.9	Red Stars	Caps	32 - 22	Seoul Hyochang Stadium
2001.1.14	Red Stars	Scholars	20 - 6	Seoul Hyochang Stadium
2002.1.13	Seven Six	Red Stars	18 - 12	Daegu Dooryu Stadium
2003.1.12	Scholars	Caps	18 - 12	Busan National Univ. Stadium
2004.1.18	Caps	Bluegons	17 - 6	Busan National Univ. Stadium
2005.1.16	Halraes	Seven Six	14 - 7	Seoul Hyochang Stadium
2005.12.18	Vikings	Caps	33 - 21	Yongin Univ. Stadium
2006.12.10	Gryphons	Vikings	19 - 10	Seoul Univ. Stadium
2007.12.2	Gryphons	Caps	23 - 13	Yongin Univ. Stadium
2008.12.7	Vikings	Caps	28 - 3	Namyangju Stadium
2009.12.6	Caps	Vikings	13 - 0	Namyangju Stadium
2010.12.12	Phoenix	Caps	14 - 7	Namyangju Stadium
