Date	Visitor	Score	Home	Record	Attendance
September 30	New York Giants	38-21	San Francisco 49ers	0-1-0	41,751
October 7	Los Angeles Rams	33-30	San Francisco 49ers	1-1-0	56,489
October 14	San Francisco 49ers	31-7	Chicago Bears	1-2-0	47,526
October 21	San Francisco 49ers	20-17	Detroit Lions	1-3-0	55,662
October 28	Chicago Bears	38-21	San Francisco 49ers	1-4-0	52,612
November 4	Detroit Lions	17-13	San Francisco 49ers	1-5-0	46,708
November 11	San Francisco 49ers	30-6	Los Angeles Rams	1-6-0	69,828
November 18	San Francisco 49ers	17-16	Green Bay Packers	2-6-0	17,986
November 25	San Francisco 49ers	10-10	Philadelphia Eagles	2-6-1	19,326
December 2	San Francisco 49ers	20-17	Baltimore Colts	3-6-1	37,227
December 8	Green Bay Packers	38-20	San Francisco 49ers	4-6-1	32,433
December 16	Baltimore Colts	30-17	San Francisco 49ers	5-6-1	43,791
