Tournament	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012
Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments
Australian Open	A	2R	1R	A	A	A	A	A	QF	3R	2R	A
French Open	1R	2R	1R	A	A	A	3R	QF	1R	SF	3R	SF
Wimbledon	1R	A	A	A	A	3R	2R	QF	QF	A	2R	QF
US Open	1R	A	A	A	A	2R	A	2R	QF	1R	3R	SF
Win–Loss	0–3	2–2	0–2	0–0	0–0	3–2	3–2	7–3	9–4	6–4	6–4	11–3
Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship
WTA Tour Championships	A	A	A	A	A	A	A	A	W	A	A	A
Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games
Summer Olympics	Not Held	Not Held	Not Held	A	Not Held	Not Held	Not Held	1R	Not Held	Not Held	Not Held	2R
WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments
Indian Wells	A	1R	A	A	A	A	A	A	SF	QF	1R	2R
Miami	A	A	A	A	A	A	A	A	QF	2R	SF	A
Madrid	Not Held	Not Held	Not Held	Not Held	Not Held	Not Held	Not Held	Not Held	QF	SF	2R	SF
Beijing	T IV	T IV	Tier II	Tier II	Tier II	Tier II	Tier II	Tier II	QF	QF	2R	2R
WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments
Dubai	Tier II	Tier II	Tier II	Tier II	Tier II	Tier II	Tier II	Tier II	A	W	W	Premier
Doha	Tier III	Tier III	Tier III	Tier II	Tier II	Tier II	Tier II	A	Not Held	Not Held	P	1R
Rome	A	1R	1R	A	A	A	A	A	SF	F	QF	1R
Montréal / Toronto	A	A	A	A	A	1R	A	A	W	A	1R	1R
Cincinnati	NH	NH	NH	Tier III	Tier III	Tier III	Tier III	Tier III	F	A	1R	SF
Tokyo	A	A	A	A	A	A	A	A	1R	1R	A	A
Ranking	40	79	112	N/A	131	62	108	30	6	15	21	15
