Year	Men's singles	Women's singles	Men's doubles	Women's doubles	Mixed doubles
2012	Scott Evans	Line Kjaersfeldt	Jelle Maas Jacco Arends	Samantha Barning Eefje Muskins	Jorrit de Ruiter Samantha Barning
2011	Rajiv Ouseph	Pai Hsiao-ma	Adam Cwalina Michal Logosz	Ng Hui Ern Ng Hui Lin	Marcus Ellis Heather Olver
2010	Hans-Kristian Vittinghus	Susan Egelstaff	Chris Adcock Andrew Ellis	Maria Helsbol Anne Skelbaek	Chris Adcock Imogen Bankier
2009	Henri Hurskainen	Carolina Marín	Mads Conrad Petersen Mads Pieler Kolding	Mariana Agathangelou Heather Olver	Mikkel Delbo Larsen Mie Schjött Kristensen
2008	Rajiv Ouseph	Zhang Xi	Richard Eidestedt Andrew Ellis	Helle Nielsen Marie Roepke	Jacob Chemnitz Marie Roepke
2007	Peter Mikkelsen	Elizabeth Cann	Khan Bob Malaythong Howard Bach	Huang Bing Chloe Magee	Howard Bach Eva Lee
2006	Jens-Kristian Leth	Sara Persson	Thomas Tesche Jochen Cassel	Emma Mason Imogen Bankier	Wouter Claes Nathalie Descamps
2005	Chetan Anand	Ella Karachkova	Mihail Popov Svetoslav Stoyanov	Jenny Wallwork Sarah Bok	Roman Spitko Carina Mette
2004	Joachim Persson	Petya Nedelcheva	Ruben Khosadalina Ali Sindoro	Pernille Harder Helle Nielsen	Ruben Khosadalina Kelly Matthews
2003	Kenneth Jonassen	Tine Rasmussen	Mihail Popov Bertrand Gallet	Pernille Harder Helle Nielsen	Ruben Khosadalina Kelly Matthews
2002	Kenneth Jonassen	Karina de Wit	Robert Blair Ian Palethorpe	Ella Tripp Joanne Wright	Peter Jeffrey Suzanne Rayappan
2001	Mark Constable	Karen Solmundson	Stephen Foster Robert Blair	Helle Nielsen Len Mork Christiansen	Robert Blair Natalie Munt
