Celebrity	Background	Original Team	Hometown	Result	Raised
Piers Morgan Category:Articles with hCards	TV Judge / Tabloid Editor	Hydra	Guildford , Surrey	13 The Celebrity Apprentice (2008-03-27)	13 $754,300
Trace Adkins Category:Articles with hCards	Country Star	Hydra	Sarepta, Louisiana	12 Runner-Up in the Season Finale (2008-03-27)	12 $102,000
Carol Alt Category:Articles with hCards	Supermodel	Empresario	East Williston, New York	11 Fired in week 12 (2008-03-20)	08 $40,000
Lennox Lewis Category:Articles with hCards	Heavyweight Champion	Hydra	West Ham , London	10 Fired in week 12 (2008-03-20)	07 $40,000
Stephen Baldwin Category:Articles with hCards	Actor / Author	Hydra	Massapequa, New York	09 Fired in week 11 (2008-03-13)	11 $89,324.79
Omarosa	Reality Star	Empresario	Youngstown, Ohio	08 Fired in week 10 (2008-03-06)	04
Tito Ortiz Category:Articles with hCards	Mixed Martial Artist	Hydra	Huntington Beach, California	07 Fired in week 9 (2008-02-28)	10 $70,000
Marilu Henner Category:Articles with hCards	Actor / Author	Empresario	Chicago, Illinois	06 Fired in week 8 (2008-02-21)	05 $20,000
Nely Galán Category:Articles with hCards	Television Executive	Empresario	Santa Clara, Cuba	05 Fired in week 6 (2008-02-07)	03
Vincent Pastore Category:Articles with hCards	Actor , " The Sopranos "	Hydra	Bronx, New York	04 Quit in week 5 (2008-01-31)	09 $50,000
Jennie Finch Category:Articles with hCards	ist Olympic Gold Medal	Empresario	La Mirada, California	03 Fired in week 4 (2008-01-24)	02
Gene Simmons Category:Articles with hCards	Rock Star	Hydra	Queens, New York	02 Fired in week 3 (2008-01-17)	05 $20,000
Nadia Comaneci Category:Articles with hCards	ist Olympic Gold Medal	Empresario	Oneşti , Romania	01 Fired in week 2 (2008-01-10)	01
Tiffany Fallon Category:Articles with hCards	Playboy Playmate	Empresario	Fort Lauderdale, Florida	00 Fired in week 1 (2008-01-03)	00
