Game	October	Opponent	Score	Record
1	5	@ Boston Bruins	4 - 4 OT	0-0-1
2	6	Florida Panthers	5 - 2	0-1-1
3	8	@ Florida Panthers	1 - 1 OT	0-1-2
4	10	Dallas Stars	2 - 1	0-2-2
5	12	@ Montreal Canadiens	5 - 2	0-3-2
6	14	Calgary Flames	5 - 4	1-3-2
7	16	Pittsburgh Penguins	8 - 1	2-3-2
8	18	St. Louis Blues	2 - 1	3-3-2
9	20	@ Tampa Bay Lightning	5 - 2	3-4-2
10	23	Washington Capitals	3 - 2	3-5-2
11	25	@ Florida Panthers	6 - 4	3-6-2
12	27	Buffalo Sabres	6 - 4	4-6-2
13	29	Florida Panthers	1 - 1 OT	4-6-3
14	30	@ New Jersey Devils	6 - 1	5-6-3
