Barangay	Area (km²)	Population (2007)	Population (2010)	Pop. density (per km²)
Bool	3.488	4929	5221	1496.85
Booy	1.464	7896	8800	6010.93
Cabawan	2.673	1550	1531	572.76
Cogon	2.044	17266	17114	8372.8
Dampas	4.437	7210	8440	1902.19
Dao	3.909	6772	8227	2104.63
Manga	1.173	6081	6460	5507.25
Mansasa	0.829	5396	6156	7425.81
Poblacion I	0.259	3323	3072	11861
Poblacion II	0.702	5856	5029	7163.82
Poblacion III	0.707	6511	6051	8558.7
San Isidro	4.294	4500	4821	1122.73
Taloto	2.445	6176	6376	2607.77
Tiptip	2.821	3956	4360	1545.55
