Location	Londonborough	Post town	Postcodedistrict	Dialcode
Abbey Wood	Greenwich	LONDON	SE2	020
Acton	Ealing	LONDON	W3, W4	020
Addington	Croydon	CROYDON	CR0	020
Addiscombe	Croydon	CROYDON	CR0	020
Aldborough Hatch	Redbridge	ILFORD	IG2	020
Aldgate	City	LONDON	EC3	020
Aldwych	Westminster	LONDON	WC2	020
Alperton	Brent	WEMBLEY	HA0	020
Anerley	Bromley	LONDON	SE20	020
Aperfield	Bromley	WESTERHAM	TN16	01959
Archway	Islington	LONDON	N19	020
Ardleigh Green	Havering	HORNCHURCH	RM11	01708
Arkley	Barnet	BARNET, LONDON	EN5, NW7	020
Arnos Grove	Enfield	LONDON	N11, N14	020
Balham	Wandsworth	LONDON	SW12	020
Bankside	Southwark	LONDON	SE1	020
Barbican	City	LONDON	EC1	020
Barking	Barking and Dagenham	BARKING	IG11	020
Barkingside	Redbridge	ILFORD	IG6	020
Barnehurst	Bexley	BEXLEYHEATH	DA7	01322
Barnes	Richmond upon Thames	LONDON	SW13	020
Barnes Cray	Bexley	DARTFORD	DA1	01322
Barnet (also Chipping Barnet, High Barnet)	Barnet	BARNET	EN5	020
Barnsbury	Islington	LONDON	N1	020
Battersea	Wandsworth	LONDON	SW11	020
Bayswater	Wesminster	LONDON	W2	020
Beckenham	Bromley	BECKENHAM, LONDON	BR3, SE20	020
Beckton	Newham	LONDON, BARKING	E6, E16, IG11	020
Becontree	Barking and Dagenham	DAGENHAM	RM9	020
Becontree Heath	Barking and Dagenham	DAGENHAM	RM8	020
Beddington	Sutton	WALLINGTON, CROYDON	SM6, CR0	020
Bedford Park	Ealing	LONDON	W4	020
Belgravia	Westminster	LONDON	SW1	020
Bellingham	Lewisham	LONDON	SE6	020
Belmont	Harrow	HARROW, STANMORE	HA3, HA7	020
Belmont	Sutton	SUTTON	SM2	020
Belsize Park	Camden	LONDON	NW3	020
Belvedere	Bexley	BELVEDERE	DA17	020
Bermondsey	Southwark	LONDON	SE1	020
Berrylands	Kingston upon Thames	SURBITON	KT5	020
Bethnal Green	Tower Hamlets	LONDON	E2	020
Bexley (also Old Bexley)	Bexley	BEXLEY	DA5	020
Bexleyheath (also Bexley New Town)	Bexley	BEXLEYHEATH, LONDON	DA6, DA7, SE2	020
Bickley	Bromley	BROMLEY	BR3	020
Biggin Hill	Bromley	WESTERHAM	TN16	01959
Blackfen	Bexley	SIDCUP	DA15	020
Blackfriars	City	LONDON	EC4	020
Blackheath	Lewisham	LONDON	SE3	020
Blackwall	Tower Hamlets	LONDON	E14	020
Bloomsbury	Camden	LONDON	WC1	020
Botany Bay	Enfield	ENFIELD	EN2	020
Bounds Green	Haringey	LONDON	N11, N22	020
Bow	Tower Hamlets	LONDON	E3	020
Bowes Park	Haringey	LONDON	N22	020
Brentford	Hounslow	BRENTFORD	TW8	020
Brent Cross	Barnet	LONDON	NW2, NW4	020
Brent Park	Brent	LONDON	NW10	020
Brimsdown	Enfield	ENFIELD	EN3	020
Brixton	Lambeth	LONDON	SW2, SW9	020
Brockley	Lewisham	LONDON	SE4	020
Bromley	Bromley	BROMLEY	BR1	020
Bromley (also Bromley-by-Bow)	Tower Hamlets	LONDON	E3	020
Bromley Common	Bromley	BROMLEY	BR3	020
Brompton	Kensington and Chelsea	LONDON	SW3	020
Brondesbury	Brent	LONDON	NW6	020
Brunswick Park	Barnet	LONDON	N11	020
Bulls Cross	Enfield	ENFIELD	EN2, EN3	020
Burnt Oak	Barnet	EDGWARE	HA8	020
Burroughs, The	Barnet	LONDON	NW4	020
Camberwell	Southwark	LONDON	SE5	020
Cambridge Heath	Tower Hamlets	LONDON	E2	020
Camden Town	Camden	LONDON	NW1	020
Canary Wharf	Tower Hamlets	LONDON	E14	020
Cann Hall	Waltham Forest	LONDON	E11	020
Canning Town	Newham	LONDON	E16	020
Canonbury	Islington	LONDON	N1	020
Carshalton	Sutton	CARSHALTON	SM5	020
Castelnau	Richmond upon Thames	LONDON	SW13	020
Catford	Lewisham	LONDON	SE6	020
Chadwell Heath	Barking and Dagenham	ROMFORD	RM6	020
Chalk Farm	Camden	LONDON	NW1	020
Charing Cross	Westminster	LONDON	WC2	020
Charlton	Greenwich	LONDON	SE7	020
Chase Cross	Havering	ROMFORD	RM5	01708
Cheam	Sutton	SUTTON	SM3	020
Chelsea	Kensington and Chelsea	LONDON	SW3	020
Chelsfield	Bromley	ORPINGTON	BR6	01689
Chessington	Kingston upon Thames	CHESSINGTON	KT9	020
Childs Hill	Barnet	LONDON	NW2	020
Chinatown	Westminster	LONDON	W1	020
Chingford	Waltham Forest	LONDON	E4	020
Chislehurst	Bromley	CHISLEHURST	BR7	020
Chiswick	Hounslow	LONDON	W4	020
Church End	Brent	LONDON	NW10	020
Church End	Barnet	LONDON	N3	020
Clapham	Lambeth	LONDON	SW4	020
Clerkenwell	Islington	LONDON	EC1	020
Cockfosters	Barnet	BARNET	EN4	020
Colindale	Barnet	LONDON	NW9	020
Collier Row	Havering	ROMFORD	RM5	01708
Colliers Wood	Merton	LONDON	SW19	020
Colney Hatch	Barnet	LONDON	N11, N10	020
Colyers	Bexley	ERITH	DA8	01322
Coney Hall	Bromley	WEST WICKHAM	BR4	020
Coombe	Croydon	CROYDON	CR0	020
Coombe	Kingston upon Thames	KINGSTON UPON THAMES	KT2	020
Coulsdon	Croydon	COULSDON	CR5	020, 01737
Covent Garden	Westminster	LONDON	WC2	020
Cowley	Hillingdon	UXBRIDGE	UB8	01895
Cranford	Hounslow	HOUNSLOW	TW5	020
Cranham	Havering	UPMINSTER	RM14	01708
Crayford	Bexley	DARTFORD	DA1	01322
Creekmouth	Barking and Dagenham	BARKING	IG11	020
Crews Hill	Enfield	ENFIELD	EN2	020
Cricklewood	Barnet, Brent, Camden	LONDON	NW2	020
Crofton Park	Lewisham	LONDON	SE4	020
Crook Log	Bexley	BEXLEYHEATH	DA6	020
Crossness	Bexley	LONDON	SE2	020
Crouch End	Haringey	LONDON	N8	020
Croydon	Croydon	CROYDON	CR0	020
Crystal Palace	Bromley	LONDON	SE19, SE20, SE26	020
Cubitt Town	Tower Hamlets	LONDON	E14	020
Cudham	Bromley	SEVENOAKS	TN14	01959
Custom House	Newham	LONDON	E16	020
Dagenham	Barking and Dagenham	DAGENHAM	RM9, RM10	020
Dalston	Hackney	LONDON	E8	020
Dartmouth Park	Camden	LONDON	NW5	020
De Beauvoir Town	Islington	LONDON	N1	020
Denmark Hill	Southwark	LONDON	SE5	020
Deptford	Lewisham	LONDON	SE8	020
Dollis Hill	Brent	LONDON	NW2	020
Downe	Bromley	ORPINGTON	BR6	01689
Downham	Bromley, Lewisham	BROMLEY	BR1	020
Dulwich	Southwark	LONDON	SE21	020
Ealing	Ealing	LONDON	W5, W13	020
Earls Court	Kensington and Chelsea	LONDON	SW5, SW10	020
Earlsfield	Wandsworth	LONDON	SW18	020
East Barnet	Barnet	BARNET	EN4	020
East Bedfont	Hounslow	FELTHAM	TW14	020
East Dulwich	Southwark	LONDON	SE22	020
East Finchley	Barnet	LONDON	N2	020
East Ham	Newham	LONDON	E6	020
East Sheen	Richmond upon Thames	LONDON	SW14	020
Eastcote	Hillingdon	PINNER	HA5, HA4	020
Eden Park	Bromley	BECKENHAM	BR3	020
Edgware	Barnet	EDGWARE	HA8	020
Edmonton	Enfield	LONDON	N9, N18	020
Eel Pie Island	Richmond upon Thames	TWICKENHAM	TW1	020
Elephant and Castle	Southwark	LONDON	SE1, SE11, SE17	020
Elm Park	Havering	HORNCHURCH	RM12	01708
Elmers End	Bromley	BECKENHAM	BR3	020
Elmstead	Bromley	CHISLEHURST	BR7	020
Eltham	Greenwich	LONDON	SE9	020
Emerson Park	Havering	HORNCHURCH	RM11	01708
Enfield Highway	Enfield	ENFIELD	EN3	020
Enfield Lock	Enfield	ENFIELD	EN3	01992
Enfield Town	Enfield	ENFIELD	EN1, EN2	020
Enfield Wash	Enfield	ENFIELD	EN3	020
Erith	Bexley	ERITH	DA8, DA18	01322
Falconwood	Bexley	LONDON, WELLING	SE9, DA16	020
Farringdon	Islington & City	LONDON	EC1	020
Feltham	Hounslow	FELTHAM	TW13, TW14	020
Finchley	Barnet	LONDON	N2, N3, N12	020
Finsbury	Islington	LONDON	EC1	020
Finsbury Park	Haringey	LONDON	N4	020
Fitzrovia	Camden	LONDON	W1	020
Foots Cray	Bexley	SIDCUP	DA14	020
Forest Gate	Newham	LONDON	E7	020
Forest Hill	Lewisham	LONDON	SE23	020
Forestdale	Croydon	CROYDON	CR0	020
Fortis Green	Haringey	LONDON	N10	020
Freezywater	Enfield	ENFIELD	EN3	020
Friern Barnet	Barnet	LONDON	N11	020
Frognal	Camden	LONDON	NW3	020
Fulham	Hammersmith and Fulham	LONDON	SW6	020
Fulwell	Richmond upon Thames	TEDDINGTON, HAMPTON	TW11, TW12	020
Gallows Corner	Havering	ROMFORD	RM2, RM3	01708
Gants Hill	Redbridge	ILFORD	IG2	020
Gidea Park	Havering	ROMFORD	RM2	01708
Gipsy Hill	Lambeth	LONDON	SE19, SE27	020
Goddington	Bromley	ORPINGTON	BR6	01689
Golders Green	Barnet	LONDON	NW11	020
Goodmayes	Redbridge	ILFORD	IG3	020
Gospel Oak	Camden	LONDON	NW5, NW3	020
Grahame Park	Barnet	LONDON	NW9	020
Grange Park	Enfield	LONDON	N21	020
Greenford	Ealing	GREENFORD	UB6	020
Greenwich	Greenwich	LONDON	SE10	020
Grove Park	Lewisham	LONDON	SE12	020
Gunnersbury	Hounslow	LONDON	W4	020
Hackney	Hackney	LONDON	E8	020
Hackney Marshes	Hackney	LONDON	E9	020
Hackney Wick	Hackney	LONDON	E9	020
Hadley Wood	Enfield	BARNET	EN4	020
Haggerston	Hackney	LONDON	E2	020
Hainault	Redbridge	CHIGWELL	IG7	020
The Hale	Barnet	LONDON	NW7	020
Ham	Richmond upon Thames	RICHMOND	TW10	020
Hammersmith	Hammersmith and Fulham	LONDON	W6	020
Hampstead	Camden	LONDON	NW3	020
Hampstead Garden Suburb	Barnet	LONDON	N2	020
Hampton	Richmond upon Thames	HAMPTON	TW12	020
Hampton Hill	Richmond upon Thames	HAMPTON	TW12	020
Hampton Wick	Richmond upon Thames	KINGSTON UPON THAMES	KT1	020
Hanwell	Ealing	LONDON	W7	020
Hanworth	Hounslow	FELTHAM	TW13	020
Harefield	Hillingdon	UXBRIDGE	UB9	01895
Harlesden	Brent	LONDON	NW10	020
Harlington	Hillingdon	HAYES	UB3	020
Harmondsworth	Hillingdon	WEST DRAYTON	UB7	020
Harold Hill	Havering	ROMFORD	RM3	01708
Harold Park	Havering	ROMFORD	RM3	01708
Harold Wood	Havering	ROMFORD	RM3	01708
Harringay	Haringey	LONDON	N4, N8, N15	020
Harrow	Harrow	HARROW	HA1	020
Harrow on the Hill	Harrow	HARROW	HA1	020
Harrow Weald	Harrow	HARROW	HA3	020
Hatch End	Harrow	PINNER	HA5	020
Hatton	Hounslow	FELTHAM	TW14	020
Havering-atte-Bower	Havering	ROMFORD	RM4	01708
Hayes	Bromley	BROMLEY	BR2	020
Hayes	Hillingdon	HAYES	UB3, UB4	020
Hendon	Barnet	LONDON	NW4	020
Herne Hill	Lambeth	LONDON	SE24	020
Heston	Hounslow	HOUNSLOW	TW5	020
Highams Park	Waltham Forest	LONDON	E4	020
Highbury	Islington	LONDON	N5	020
Highgate	Camden	LONDON	N6	020
Hillingdon	Hillingdon	UXBRIDGE	UB8, UB10	020
Hither Green	Lewisham	LONDON	SE13	020
Holborn	Camden	LONDON	WC1, WC2	020
Holland Park	Kensington and Chelsea	LONDON	W8, W11, W14	020
Holloway	Islington	LONDON	N7	020
Homerton	Hackney	LONDON	E9	020
Honor Oak	Lewisham	LONDON	SE	020
Hook	Kingston upon Thames	CHESSINGTON	KT9	020
Hornchurch	Havering	HORNCHURCH	RM11, RM12	01708
Hornsey	Haringey	LONDON	N8	020
Hounslow	Hounslow	HOUNSLOW	TW3	020
Hoxton	Hackney	LONDON	N1	020
The Hyde	Barnet	LONDON	NW9	020
Ickenham	Hillingdon	UXBRIDGE	UB10	01895
Ilford	Redbridge	ILFORD	IG1	020
Isle of Dogs	Tower Hamlets	LONDON	E14	020
Isleworth	Hounslow	ISLEWORTH	TW7	020
Islington	Islington	LONDON	N1	020
Kenley	Croydon	PURLEY	CR8	020
Kennington	Lambeth	LONDON	SE11	020
Kensal Green	Brent	LONDON	NW10, NW6	020
Kensington	Kensington and Chelsea	LONDON	SW7	020
