Call sign	Frequency MHz	City of license	ERP W	Class	FCC info
WLPE	91.7	Augusta, GA	1,150	A	FCC
WGPH	91.5	Vidalia, GA	31,000	C2	FCC
WWGF	107.5	Donalsonville, GA	6,000	A	FCC
WPWB	90.5	Byron, GA	16,500	C2	FCC
WLPF	98.5	Ocilla, GA	2,300	A	FCC
WZIQ	106.5	Smithville, GA	2,450	A	[http://www.fcc.gov/fcc-bin/fmq?call= WZIQ FCC]
WLPG	91.7	Florence, SC	20,000	C2	FCC
WPMA	102.7	Greensboro, GA	7,500	C3	FCC
WTHP	94.3	Gibson, GA	6,300	C3	FCC
WLPT	88.3	Jesup, GA	20,000	C1	FCC
WSJA	91.3	York, AL	5,000	A	FCC
WLGP	100.3	Jacksonville, NC	100,000	C1	[http://www.fcc.gov/fcc-bin/fmq?call= WLGP FCC]
