Designation	Constellation	Date sent	Arrival date	Message
NGC 6205	Hercules	1974-11-16 November 16, 1974	approx. 27000	Arecibo Message
Alpha Aql	Aquila	1983-8-15 August 15, 1983	1999	Altair (Morimoto - Hirabayashi) Message
Alpha Vir	Virgo	1997-8 August 1997	2247	NASDA Cosmic-College
HD 186408	Cygnus	1999-05-24 May 24, 1999	2069-11 November 2069	Cosmic Call 1
HD 190406	Sagitta	1999-06-30 June 30, 1999	2057-02 February 2057	Cosmic Call 1
HD 178428	Sagitta	1999-06-30 June 30, 1999	2067-10 October 2067	Cosmic Call 1
HD 190360	Cygnus	1999-07-01 July 1, 1999	2051-04 April 2051	Cosmic Call 1
HD 197076	Delphinus	2000-08-29 August 29, 2001	2070-02 February 2070	Teen Age Message
HD 95128	Ursa Major	2001-09-03 September 3, 2001	2047-07 July 2047	Teen Age Message
HD 50692	Gemini	2001-09-03 September 3, 2001	2057-12 December 2057	Teen Age Message
HD 126053	Virgo	2001-09-03 September 3, 2001	2059-12 January 2059	Teen Age Message
HD 76151	Hydra	2001-09-04 September 4, 2001	2057-05 May 2057	Teen Age Message
HD 193664	Draco	2001-09-04 September 4, 2001	2059-01 January 2059	Teen Age Message
HIP 4872	Cassiopeia	2003-07-06 July 6, 2003	2036-04 April 2036	Cosmic Call 2
HD 245409	Orion	2003-07-06 July 6, 2003	2040-08 August 2040	Cosmic Call 2
HD 75732	Cancer	2003-07-06 July 6, 2003	2044-05 May 2044	Cosmic Call 2
HD 10307	Andromeda	2003-07-06 July 6, 2003	2044-09 September 2044	Cosmic Call 2
HD 95128	Ursa Major	2003-07-06 July 6, 2003	2049-05 May 2049	Cosmic Call 2
HIP 11767	Ursa Minor	2008-10-09 February 4, 2008	2029 2439	Across the Universe
HIP 74995	Libra	2008-10-09 October 9, 2008	2029 2029	A Message From Earth
HIP 74995	Libra	2008-10-09 August 28, 2009	2030 2030	Hello From Earth
GJ 83.1	Aries	2009-11-07 November 7, 2009	2024	RuBisCo Stars
SO J025300.5+165258	Aries	2009-11-07 November 7, 2009	2022	RuBisCo Stars
GJ 137	Cetus	2009-11-07 November 7, 2009	2039	RuBisCo Stars
HIP 34511	Gemini	2012-08-15 August 15, 2012	2163	Wow! Reply
HD 50692	Gemini	2012-08-15 August 15, 2012	2069	Wow! Reply
HD 75732	Cancer	2012-08-15 August 15, 2012	2053	Wow! Reply
HD 119850	Boötes	2013-07-10 July 10, 2013	2031	Lone Signal
